

Performance Summary

,All Trades,Long Trades,Short Trades,
3/14/2021,$0.00,0.00%,n/a,1,0.00%,
3/13/2021,$0.00,0.00%,n/a,1,0.00%,
3/12/2021,($40.00),-0.04%,0.00,1,0.00%,
3/11/2021,$40.00,0.04%,n/a,1,100.00%,
3/10/2021,($340.00),-0.31%,0.00,1,0.00%,
3/9/2021,($170.00),-0.16%,0.00,1,0.00%,
3/8/2021,$190.00,0.17%,n/a,1,100.00%,
3/7/2021,$0.00,0.00%,n/a,1,0.00%,
3/6/2021,$0.00,0.00%,n/a,1,0.00%,
3/5/2021,$420.00,0.39%,n/a,1,100.00%,
3/4/2021,$420.00,0.39%,n/a,1,100.00%,
2/17/2021,($480.00),-0.44%,0.00,1,0.00%,
2/16/2021,($260.00),-0.24%,0.00,1,0.00%,
2/15/2021,$0.00,0.00%,n/a,1,0.00%,
2/14/2021,$0.00,0.00%,n/a,1,0.00%,
2/13/2021,$0.00,0.00%,n/a,1,0.00%,
2/12/2021,$130.00,0.12%,n/a,1,100.00%,
2/11/2021,($820.00),-0.75%,0.00,1,0.00%,
2/10/2021,$430.00,0.39%,n/a,1,100.00%,
1/6/2021,($440.00),-0.40%,0.00,1,0.00%,
1/5/2021,($240.00),-0.22%,0.00,1,0.00%,
1/4/2021,($500.00),-0.45%,0.00,1,0.00%,
1/3/2021,$0.00,0.00%,n/a,1,0.00%,
1/2/2021,$0.00,0.00%,n/a,1,0.00%,
1/1/2021,$0.00,0.00%,n/a,1,0.00%,
12/31/2020,$10.00,0.01%,n/a,1,100.00%,
12/30/2020,$920.00,0.84%,n/a,1,100.00%,
12/29/2020,($490.00),-0.45%,0.00,1,0.00%,
12/28/2020,($460.00),-0.42%,0.00,1,0.00%,
12/27/2020,$0.00,0.00%,n/a,1,0.00%,
12/26/2020,$0.00,0.00%,n/a,1,0.00%,
12/25/2020,$0.00,0.00%,n/a,1,0.00%,
12/24/2020,$510.00,0.46%,n/a,1,100.00%,
12/23/2020,$240.00,0.22%,n/a,1,100.00%,
12/22/2020,($580.00),-0.53%,0.00,2,0.00%,
12/21/2020,($690.00),-0.62%,0.00,1,0.00%,
12/20/2020,$0.00,0.00%,n/a,1,0.00%,
12/19/2020,$0.00,0.00%,n/a,1,0.00%,
12/18/2020,$90.00,0.08%,n/a,1,100.00%,
12/8/2020,$650.00,0.59%,n/a,1,100.00%,
12/7/2020,$320.00,0.29%,n/a,1,100.00%,
12/6/2020,$0.00,0.00%,n/a,1,0.00%,
12/5/2020,$0.00,0.00%,n/a,1,0.00%,
12/4/2020,($270.00),-0.25%,0.00,1,0.00%,
12/3/2020,$240.00,0.22%,n/a,1,100.00%,
12/2/2020,$110.00,0.10%,n/a,1,100.00%,
12/1/2020,$900.00,0.83%,n/a,1,100.00%,
11/30/2020,$50.00,0.05%,n/a,1,100.00%,
10/14/2020,($90.00),-0.08%,0.00,1,0.00%,
10/13/2020,($500.00),-0.46%,0.00,1,0.00%,
10/12/2020,($180.00),-0.16%,0.00,1,0.00%,
10/11/2020,$0.00,0.00%,n/a,1,0.00%,
10/10/2020,$0.00,0.00%,n/a,1,0.00%,
10/9/2020,($320.00),-0.29%,0.00,1,0.00%,
10/8/2020,$90.00,0.08%,n/a,1,100.00%,
10/6/2020,$400.00,0.37%,n/a,1,100.00%,
10/5/2020,$160.00,0.15%,n/a,1,100.00%,
10/4/2020,$0.00,0.00%,n/a,1,0.00%,
10/3/2020,$0.00,0.00%,n/a,1,0.00%,
10/2/2020,$210.00,0.19%,n/a,1,100.00%,
10/1/2020,$410.00,0.38%,n/a,1,100.00%,
9/30/2020,$610.00,0.56%,n/a,1,100.00%,
9/29/2020,($150.00),-0.14%,0.00,1,0.00%,
9/28/2020,($70.00),-0.06%,0.00,1,0.00%,
9/27/2020,$0.00,0.00%,n/a,1,0.00%,
9/26/2020,$0.00,0.00%,n/a,1,0.00%,
9/25/2020,$270.00,0.25%,n/a,1,100.00%,
9/24/2020,($180.00),-0.17%,0.00,1,0.00%,
9/23/2020,($320.00),-0.29%,0.00,1,0.00%,
9/22/2020,$720.00,0.67%,n/a,1,100.00%,
9/21/2020,($540.00),-0.50%,0.00,2,0.00%,
9/20/2020,$0.00,0.00%,n/a,1,0.00%,
9/19/2020,$0.00,0.00%,n/a,1,0.00%,
9/18/2020,$550.00,0.51%,n/a,1,100.00%,
9/17/2020,($390.00),-0.36%,0.00,2,0.00%,
9/16/2020,$950.00,0.89%,n/a,1,100.00%,
9/15/2020,($1390.00),-1.28%,0.00,1,0.00%,
9/14/2020,$50.00,0.05%,n/a,1,100.00%,
9/13/2020,$0.00,0.00%,n/a,1,0.00%,
9/12/2020,$0.00,0.00%,n/a,1,0.00%,
9/11/2020,($170.00),-0.16%,0.00,1,0.00%,
9/10/2020,$200.00,0.18%,n/a,1,100.00%,
9/9/2020,$80.00,0.07%,n/a,1,100.00%,
9/8/2020,$270.00,0.25%,n/a,1,100.00%,
9/7/2020,$0.00,0.00%,n/a,1,0.00%,
9/6/2020,$0.00,0.00%,n/a,1,0.00%,
9/5/2020,$0.00,0.00%,n/a,1,0.00%,
9/4/2020,$270.00,0.25%,n/a,1,100.00%,
9/3/2020,$380.00,0.35%,n/a,1,100.00%,
8/27/2020,($580.00),-0.54%,0.00,1,0.00%,
8/26/2020,($10.00),-0.01%,0.00,1,0.00%,
8/25/2020,($230.00),-0.21%,0.00,1,0.00%,
8/24/2020,($480.00),-0.44%,0.00,1,0.00%,
8/23/2020,$0.00,0.00%,n/a,1,0.00%,
8/22/2020,$0.00,0.00%,n/a,1,0.00%,
8/21/2020,($110.00),-0.10%,0.00,1,0.00%,
8/20/2020,$500.00,0.46%,n/a,1,100.00%,
8/19/2020,($130.00),-0.12%,0.00,1,0.00%,
8/18/2020,($170.00),-0.16%,0.00,1,0.00%,
8/17/2020,$210.00,0.19%,n/a,1,100.00%,
7/29/2020,$310.00,0.29%,n/a,1,100.00%,
7/28/2020,$110.00,0.10%,n/a,1,100.00%,
7/27/2020,$770.00,0.72%,n/a,1,100.00%,
7/26/2020,$0.00,0.00%,n/a,1,0.00%,
7/25/2020,$0.00,0.00%,n/a,1,0.00%,
7/24/2020,$270.00,0.25%,n/a,1,100.00%,
7/23/2020,($250.00),-0.23%,0.00,1,0.00%,
7/22/2020,$300.00,0.28%,n/a,1,100.00%,
7/21/2020,($380.00),-0.35%,0.00,1,0.00%,
7/20/2020,$550.00,0.51%,n/a,1,100.00%,
7/19/2020,$0.00,0.00%,n/a,1,0.00%,
7/18/2020,$0.00,0.00%,n/a,1,0.00%,
7/17/2020,($60.00),-0.06%,0.00,1,0.00%,
7/16/2020,$540.00,0.51%,n/a,2,100.00%,
7/15/2020,$40.00,0.04%,n/a,1,100.00%,
7/14/2020,$350.00,0.33%,n/a,1,100.00%,
7/13/2020,($190.00),-0.18%,0.00,1,0.00%,
7/12/2020,$0.00,0.00%,n/a,1,0.00%,
7/11/2020,$0.00,0.00%,n/a,1,0.00%,
7/10/2020,($230.00),-0.22%,0.00,1,0.00%,
7/9/2020,($320.00),-0.30%,0.00,1,0.00%,
7/8/2020,$230.00,0.22%,n/a,1,100.00%,
7/7/2020,$160.00,0.15%,n/a,1,100.00%,
7/6/2020,$30.00,0.03%,n/a,1,100.00%,
6/11/2020,($1060.00),-0.99%,0.00,1,0.00%,
6/10/2020,($380.00),-0.35%,0.00,1,0.00%,
6/9/2020,$350.00,0.33%,n/a,1,100.00%,
6/8/2020,$90.00,0.08%,n/a,1,100.00%,
6/7/2020,$0.00,0.00%,n/a,1,0.00%,
6/6/2020,$0.00,0.00%,n/a,1,0.00%,
6/5/2020,($20.00),-0.02%,0.00,1,0.00%,
6/4/2020,$150.00,0.14%,n/a,1,100.00%,
6/3/2020,($110.00),-0.10%,0.00,1,0.00%,
6/2/2020,($900.00),-0.83%,0.00,1,0.00%,
6/1/2020,$710.00,0.66%,n/a,1,100.00%,
5/31/2020,$0.00,0.00%,n/a,1,0.00%,
5/30/2020,$0.00,0.00%,n/a,1,0.00%,
5/29/2020,$30.00,0.03%,n/a,1,100.00%,
5/28/2020,($610.00),-0.56%,0.19,2,50.00%,
5/27/2020,$80.00,0.07%,n/a,1,100.00%,
5/11/2020,($730.00),-0.67%,0.00,1,0.00%,
5/10/2020,$0.00,0.00%,n/a,1,0.00%,
5/9/2020,$0.00,0.00%,n/a,1,0.00%,
5/8/2020,($180.00),-0.17%,0.00,1,0.00%,
5/7/2020,($130.00),-0.12%,0.00,1,0.00%,
5/6/2020,$90.00,0.08%,n/a,2,100.00%,
5/5/2020,($190.00),-0.17%,0.00,1,0.00%,
5/4/2020,($180.00),-0.16%,0.00,1,0.00%,
5/3/2020,$0.00,0.00%,n/a,1,0.00%,
5/2/2020,$0.00,0.00%,n/a,1,0.00%,
5/1/2020,($80.00),-0.07%,0.00,1,0.00%,
4/30/2020,$310.00,0.28%,n/a,1,100.00%,
4/29/2020,$320.00,0.29%,n/a,1,100.00%,
4/28/2020,$280.00,0.26%,n/a,1,100.00%,
4/27/2020,($200.00),-0.18%,0.00,1,0.00%,
4/26/2020,$0.00,0.00%,n/a,1,0.00%,
4/25/2020,$0.00,0.00%,n/a,1,0.00%,
4/24/2020,($210.00),-0.19%,0.00,1,0.00%,
4/23/2020,($70.00),-0.06%,0.00,1,0.00%,
4/22/2020,$440.00,0.41%,n/a,1,100.00%,
4/21/2020,($260.00),-0.24%,0.00,1,0.00%,
4/20/2020,($70.00),-0.06%,0.00,1,0.00%,
4/19/2020,$0.00,0.00%,n/a,1,0.00%,
4/18/2020,$0.00,0.00%,n/a,1,0.00%,
4/17/2020,$870.00,0.81%,n/a,1,100.00%,
4/16/2020,$310.00,0.29%,n/a,1,100.00%,
4/15/2020,($440.00),-0.41%,0.00,1,0.00%,
4/14/2020,$50.00,0.05%,n/a,1,100.00%,
4/13/2020,($320.00),-0.30%,0.00,1,0.00%,
4/12/2020,$0.00,0.00%,n/a,1,0.00%,
4/11/2020,$0.00,0.00%,n/a,1,0.00%,
4/10/2020,$0.00,0.00%,n/a,1,0.00%,
4/9/2020,($650.00),-0.60%,0.00,1,0.00%,
4/8/2020,($280.00),-0.26%,0.00,1,0.00%,
4/7/2020,$220.00,0.20%,n/a,1,100.00%,
4/6/2020,$1320.00,1.23%,n/a,1,100.00%,
4/5/2020,$0.00,0.00%,n/a,1,0.00%,
4/4/2020,$0.00,0.00%,n/a,1,0.00%,
4/3/2020,($290.00),-0.27%,0.00,1,0.00%,
4/2/2020,$420.00,0.39%,n/a,1,100.00%,
4/1/2020,$10.00,0.01%,n/a,1,100.00%,
3/31/2020,($180.00),-0.17%,0.00,1,0.00%,
3/30/2020,$0.00,0.00%,n/a,1,0.00%,
3/29/2020,$0.00,0.00%,n/a,1,0.00%,
3/28/2020,$0.00,0.00%,n/a,1,0.00%,
3/27/2020,$120.00,0.11%,n/a,1,100.00%,
3/26/2020,($30.00),-0.03%,0.00,1,0.00%,
3/17/2020,$360.00,0.34%,n/a,1,100.00%,
3/16/2020,$830.00,0.78%,n/a,1,100.00%,
3/15/2020,$0.00,0.00%,n/a,1,0.00%,
3/14/2020,$0.00,0.00%,n/a,1,0.00%,
3/13/2020,$880.00,0.83%,n/a,1,100.00%,
3/12/2020,($70.00),-0.07%,0.00,1,0.00%,
2/28/2020,$700.00,0.67%,n/a,1,100.00%,
2/27/2020,($180.00),-0.17%,0.00,1,0.00%,
2/26/2020,$740.00,0.71%,n/a,1,100.00%,
2/25/2020,$140.00,0.13%,n/a,1,100.00%,
2/24/2020,$110.00,0.11%,n/a,1,100.00%,
2/23/2020,$0.00,0.00%,n/a,1,0.00%,
2/22/2020,$0.00,0.00%,n/a,1,0.00%,
2/21/2020,$320.00,0.31%,n/a,1,100.00%,
2/20/2020,($210.00),-0.20%,0.00,1,0.00%,
2/19/2020,$200.00,0.19%,n/a,1,100.00%,
2/18/2020,$150.00,0.14%,n/a,1,100.00%,
2/17/2020,$0.00,0.00%,n/a,1,0.00%,
2/16/2020,$0.00,0.00%,n/a,1,0.00%,
2/15/2020,$0.00,0.00%,n/a,1,0.00%,
2/14/2020,$30.00,0.03%,n/a,1,100.00%,
2/7/2020,($300.00),-0.29%,0.00,1,0.00%,
2/6/2020,($700.00),-0.67%,0.00,1,0.00%,
1/14/2020,$330.00,0.32%,n/a,1,100.00%,
1/13/2020,($70.00),-0.07%,0.00,1,0.00%,
1/12/2020,$0.00,0.00%,n/a,1,0.00%,
1/11/2020,$0.00,0.00%,n/a,1,0.00%,
1/10/2020,$390.00,0.37%,n/a,1,100.00%,
1/9/2020,$510.00,0.49%,n/a,1,100.00%,
1/8/2020,($350.00),-0.34%,0.00,1,0.00%,
1/7/2020,$470.00,0.45%,n/a,1,100.00%,
1/6/2020,($300.00),-0.29%,0.00,1,0.00%,
1/5/2020,$0.00,0.00%,n/a,1,0.00%,
1/4/2020,$0.00,0.00%,n/a,1,0.00%,
1/3/2020,($120.00),-0.12%,0.00,1,0.00%,
1/2/2020,($60.00),-0.06%,0.00,1,0.00%,
1/1/2020,$0.00,0.00%,n/a,1,0.00%,
12/31/2019,$710.00,0.69%,n/a,1,100.00%,
12/30/2019,($170.00),-0.16%,0.00,1,0.00%,
12/29/2019,$0.00,0.00%,n/a,1,0.00%,
12/28/2019,$0.00,0.00%,n/a,1,0.00%,
12/27/2019,$710.00,0.69%,n/a,1,100.00%,
12/18/2019,($510.00),-0.49%,0.00,1,0.00%,
12/17/2019,($190.00),-0.18%,0.00,1,0.00%,
12/16/2019,($170.00),-0.16%,0.00,1,0.00%,
12/15/2019,$0.00,0.00%,n/a,1,0.00%,
12/14/2019,$0.00,0.00%,n/a,1,0.00%,
12/13/2019,$380.00,0.37%,n/a,1,100.00%,
12/12/2019,($340.00),-0.33%,0.00,1,0.00%,
12/11/2019,($170.00),-0.16%,0.00,1,0.00%,
11/12/2019,($210.00),-0.20%,0.00,1,0.00%,
11/11/2019,($250.00),-0.24%,0.00,1,0.00%,
11/10/2019,$0.00,0.00%,n/a,1,0.00%,
11/9/2019,$0.00,0.00%,n/a,1,0.00%,
11/8/2019,($530.00),-0.51%,0.00,1,0.00%,
11/7/2019,$20.00,0.02%,n/a,1,100.00%,
11/6/2019,($30.00),-0.03%,0.00,1,0.00%,
10/23/2019,($320.00),-0.30%,0.00,1,0.00%,
10/22/2019,($250.00),-0.24%,0.00,1,0.00%,
10/21/2019,($40.00),-0.04%,0.00,1,0.00%,
10/20/2019,$0.00,0.00%,n/a,1,0.00%,
10/19/2019,$0.00,0.00%,n/a,1,0.00%,
10/18/2019,($280.00),-0.27%,0.00,1,0.00%,
10/17/2019,($90.00),-0.09%,0.00,1,0.00%,
10/16/2019,$60.00,0.06%,n/a,1,100.00%,
10/15/2019,($790.00),-0.74%,0.00,2,0.00%,
10/14/2019,$640.00,0.61%,n/a,1,100.00%,
10/13/2019,$0.00,0.00%,n/a,1,0.00%,
10/12/2019,$0.00,0.00%,n/a,1,0.00%,
10/11/2019,($580.00),-0.55%,0.00,1,0.00%,
10/10/2019,($500.00),-0.47%,0.00,1,0.00%,
10/9/2019,$430.00,0.40%,n/a,1,100.00%,
10/8/2019,($270.00),-0.25%,0.00,1,0.00%,
10/7/2019,$540.00,0.51%,n/a,1,100.00%,
10/6/2019,$0.00,0.00%,n/a,1,0.00%,
10/5/2019,$0.00,0.00%,n/a,1,0.00%,
10/4/2019,$510.00,0.48%,n/a,1,100.00%,
10/3/2019,($450.00),-0.42%,0.00,1,0.00%,
10/2/2019,($180.00),-0.17%,0.00,1,0.00%,
10/1/2019,($200.00),-0.19%,0.00,1,0.00%,
9/30/2019,$440.00,0.42%,n/a,1,100.00%,
9/29/2019,$0.00,0.00%,n/a,1,0.00%,
9/28/2019,$0.00,0.00%,n/a,1,0.00%,
9/27/2019,$0.00,0.00%,n/a,1,0.00%,
9/19/2019,$120.00,0.11%,n/a,1,100.00%,
9/18/2019,$70.00,0.07%,n/a,1,100.00%,
9/17/2019,$170.00,0.16%,n/a,1,100.00%,
9/16/2019,$590.00,0.56%,n/a,1,100.00%,
9/15/2019,$0.00,0.00%,n/a,1,0.00%,
9/14/2019,$0.00,0.00%,n/a,1,0.00%,
9/13/2019,$90.00,0.09%,n/a,1,100.00%,
9/12/2019,$80.00,0.08%,n/a,1,100.00%,
9/11/2019,$220.00,0.21%,n/a,1,100.00%,
9/10/2019,($270.00),-0.26%,0.00,1,0.00%,
9/9/2019,$410.00,0.39%,n/a,1,100.00%,
9/8/2019,$0.00,0.00%,n/a,1,0.00%,
9/7/2019,$0.00,0.00%,n/a,1,0.00%,
9/6/2019,$400.00,0.38%,n/a,1,100.00%,
9/5/2019,($420.00),-0.40%,0.00,1,0.00%,
9/4/2019,$340.00,0.33%,n/a,1,100.00%,
9/3/2019,$260.00,0.25%,n/a,1,100.00%,
9/2/2019,$0.00,0.00%,n/a,1,0.00%,
9/1/2019,$0.00,0.00%,n/a,1,0.00%,
8/31/2019,$0.00,0.00%,n/a,1,0.00%,
8/30/2019,$270.00,0.26%,n/a,1,100.00%,
8/29/2019,($620.00),-0.59%,0.00,1,0.00%,
8/28/2019,$30.00,0.03%,n/a,1,100.00%,
8/27/2019,$130.00,0.12%,n/a,1,100.00%,
8/26/2019,$60.00,0.06%,n/a,1,100.00%,
8/25/2019,$0.00,0.00%,n/a,1,0.00%,
8/24/2019,$0.00,0.00%,n/a,1,0.00%,
8/23/2019,($90.00),-0.09%,0.00,1,0.00%,
8/22/2019,$230.00,0.22%,n/a,1,100.00%,
8/21/2019,$420.00,0.41%,n/a,1,100.00%,
8/20/2019,($190.00),-0.18%,0.00,1,0.00%,
8/19/2019,($50.00),-0.05%,0.00,1,0.00%,
8/18/2019,$0.00,0.00%,n/a,1,0.00%,
8/17/2019,$0.00,0.00%,n/a,1,0.00%,
8/16/2019,($10.00),-0.01%,0.00,1,0.00%,
8/15/2019,($240.00),-0.23%,0.00,1,0.00%,
7/8/2019,($900.00),-0.86%,0.00,1,0.00%,
7/7/2019,$0.00,0.00%,n/a,1,0.00%,
7/6/2019,$0.00,0.00%,n/a,1,0.00%,
7/5/2019,($160.00),-0.15%,0.00,1,0.00%,
7/4/2019,$0.00,0.00%,n/a,1,0.00%,
7/3/2019,$230.00,0.22%,n/a,1,100.00%,
7/2/2019,$330.00,0.32%,n/a,1,100.00%,
7/1/2019,($690.00),-0.66%,0.00,1,0.00%,
6/30/2019,$0.00,0.00%,n/a,1,0.00%,
6/29/2019,$0.00,0.00%,n/a,1,0.00%,
6/28/2019,$180.00,0.17%,n/a,1,100.00%,
6/27/2019,$270.00,0.26%,n/a,1,100.00%,
6/26/2019,($40.00),-0.04%,0.00,1,0.00%,
6/25/2019,$110.00,0.11%,n/a,1,100.00%,
6/24/2019,$140.00,0.13%,n/a,1,100.00%,
6/23/2019,$0.00,0.00%,n/a,1,0.00%,
6/22/2019,$0.00,0.00%,n/a,1,0.00%,
6/21/2019,($470.00),-0.45%,0.00,1,0.00%,
6/20/2019,$0.00,0.00%,n/a,1,0.00%,
5/15/2019,($230.00),-0.22%,0.00,1,0.00%,
5/14/2019,$70.00,0.07%,n/a,1,100.00%,
5/13/2019,($240.00),-0.23%,0.00,1,0.00%,
5/12/2019,$0.00,0.00%,n/a,1,0.00%,
5/11/2019,$0.00,0.00%,n/a,1,0.00%,
5/10/2019,($230.00),-0.22%,0.00,1,0.00%,
5/9/2019,$270.00,0.26%,n/a,1,100.00%,
5/8/2019,$50.00,0.05%,n/a,1,100.00%,
5/7/2019,($450.00),-0.43%,0.00,1,0.00%,
5/6/2019,($230.00),-0.22%,0.00,1,0.00%,
5/5/2019,$0.00,0.00%,n/a,1,0.00%,
5/4/2019,$0.00,0.00%,n/a,1,0.00%,
5/3/2019,$0.00,0.00%,n/a,1,0.00%,
5/2/2019,($490.00),-0.46%,0.00,2,0.00%,
5/1/2019,$360.00,0.34%,n/a,1,100.00%,
4/30/2019,$200.00,0.19%,n/a,1,100.00%,
4/29/2019,($420.00),-0.40%,0.00,1,0.00%,
4/28/2019,$0.00,0.00%,n/a,1,0.00%,
4/27/2019,$0.00,0.00%,n/a,1,0.00%,
4/26/2019,($590.00),-0.55%,0.00,1,0.00%,
4/25/2019,($260.00),-0.24%,0.00,1,0.00%,
4/24/2019,$330.00,0.31%,n/a,1,100.00%,
4/23/2019,$540.00,0.51%,n/a,1,100.00%,
4/22/2019,$470.00,0.44%,n/a,1,100.00%,
4/21/2019,$0.00,0.00%,n/a,1,0.00%,
4/20/2019,$0.00,0.00%,n/a,1,0.00%,
4/19/2019,$0.00,0.00%,n/a,1,0.00%,
4/18/2019,$140.00,0.13%,n/a,1,100.00%,
4/17/2019,($440.00),-0.41%,0.00,1,0.00%,
4/16/2019,$450.00,0.43%,n/a,1,100.00%,
4/15/2019,$130.00,0.12%,n/a,1,100.00%,
4/14/2019,$0.00,0.00%,n/a,1,0.00%,
4/13/2019,$0.00,0.00%,n/a,1,0.00%,
4/12/2019,($310.00),-0.29%,0.00,1,0.00%,
4/11/2019,$430.00,0.41%,n/a,1,100.00%,
4/10/2019,($70.00),-0.07%,0.00,1,0.00%,
4/9/2019,($90.00),-0.09%,0.00,1,0.00%,
3/21/2019,($300.00),-0.28%,0.00,1,0.00%,
3/20/2019,($560.00),-0.53%,0.00,1,0.00%,
3/19/2019,$60.00,0.06%,n/a,1,100.00%,
3/18/2019,($110.00),-0.10%,0.00,1,0.00%,
3/17/2019,$0.00,0.00%,n/a,1,0.00%,
3/16/2019,$0.00,0.00%,n/a,1,0.00%,
3/15/2019,($100.00),-0.09%,0.00,1,0.00%,
3/14/2019,$0.00,0.00%,n/a,1,0.00%,
3/13/2019,$70.00,0.07%,n/a,2,100.00%,
3/12/2019,($170.00),-0.16%,0.00,1,0.00%,
3/11/2019,$10.00,0.01%,n/a,1,100.00%,
3/10/2019,$0.00,0.00%,n/a,1,0.00%,
3/9/2019,$0.00,0.00%,n/a,1,0.00%,
3/8/2019,($250.00),-0.23%,0.00,1,0.00%,
3/7/2019,$630.00,0.59%,n/a,1,100.00%,
3/6/2019,($810.00),-0.76%,0.00,1,0.00%,
3/5/2019,($120.00),-0.11%,0.00,1,0.00%,
3/4/2019,$750.00,0.70%,n/a,1,100.00%,
3/3/2019,$0.00,0.00%,n/a,1,0.00%,
3/2/2019,$0.00,0.00%,n/a,1,0.00%,
3/1/2019,$280.00,0.26%,n/a,1,100.00%,
2/28/2019,($880.00),-0.82%,0.00,2,0.00%,
2/27/2019,$360.00,0.34%,n/a,1,100.00%,
2/26/2019,$260.00,0.24%,n/a,1,100.00%,
2/25/2019,($330.00),-0.31%,0.00,1,0.00%,
2/24/2019,$0.00,0.00%,n/a,1,0.00%,
2/23/2019,$0.00,0.00%,n/a,1,0.00%,
2/22/2019,$150.00,0.14%,n/a,1,100.00%,
2/21/2019,($440.00),-0.41%,0.00,1,0.00%,
2/20/2019,($350.00),-0.33%,0.00,1,0.00%,
2/19/2019,$130.00,0.12%,n/a,1,100.00%,
2/18/2019,$0.00,0.00%,n/a,1,0.00%,
2/17/2019,$0.00,0.00%,n/a,1,0.00%,
2/16/2019,$0.00,0.00%,n/a,1,0.00%,
2/15/2019,$610.00,0.57%,n/a,1,100.00%,
2/14/2019,($30.00),-0.03%,0.00,1,0.00%,
2/13/2019,$150.00,0.14%,n/a,1,100.00%,
2/12/2019,$120.00,0.11%,n/a,1,100.00%,
2/11/2019,$250.00,0.24%,n/a,1,100.00%,
2/10/2019,$0.00,0.00%,n/a,1,0.00%,
2/9/2019,$0.00,0.00%,n/a,1,0.00%,
2/8/2019,($350.00),-0.33%,0.00,1,0.00%,
1/30/2019,($400.00),-0.37%,0.00,1,0.00%,
1/29/2019,($330.00),-0.31%,0.00,1,0.00%,
1/28/2019,($690.00),-0.64%,0.00,2,0.00%,
1/27/2019,$0.00,0.00%,n/a,1,0.00%,
1/26/2019,$0.00,0.00%,n/a,1,0.00%,
1/25/2019,$270.00,0.25%,n/a,1,100.00%,
1/24/2019,($200.00),-0.19%,0.00,1,0.00%,
1/23/2019,$60.00,0.06%,n/a,1,100.00%,
1/22/2019,$550.00,0.51%,n/a,1,100.00%,
1/21/2019,$0.00,0.00%,n/a,1,0.00%,
1/20/2019,$0.00,0.00%,n/a,1,0.00%,
1/19/2019,$0.00,0.00%,n/a,1,0.00%,
1/18/2019,$510.00,0.48%,n/a,1,100.00%,
1/17/2019,($450.00),-0.42%,0.00,1,0.00%,
1/16/2019,($430.00),-0.40%,0.00,1,0.00%,
1/15/2019,$760.00,0.71%,n/a,1,100.00%,
1/14/2019,$200.00,0.19%,n/a,1,100.00%,
1/13/2019,$0.00,0.00%,n/a,1,0.00%,
1/12/2019,$0.00,0.00%,n/a,1,0.00%,
1/11/2019,($100.00),-0.09%,0.00,1,0.00%,
1/10/2019,($40.00),-0.04%,0.00,1,0.00%,
1/9/2019,$320.00,0.30%,n/a,1,100.00%,
1/8/2019,$80.00,0.08%,n/a,1,100.00%,
12/24/2018,$560.00,0.53%,n/a,1,100.00%,
12/23/2018,$0.00,0.00%,n/a,1,0.00%,
12/22/2018,$0.00,0.00%,n/a,1,0.00%,
12/21/2018,$50.00,0.05%,n/a,1,100.00%,
12/20/2018,($520.00),-0.49%,0.00,1,0.00%,
12/19/2018,$170.00,0.16%,n/a,1,100.00%,
12/18/2018,$660.00,0.63%,n/a,1,100.00%,
12/17/2018,($20.00),-0.02%,0.00,1,0.00%,
12/16/2018,$0.00,0.00%,n/a,1,0.00%,
12/15/2018,$0.00,0.00%,n/a,1,0.00%,
12/14/2018,($200.00),-0.19%,0.00,1,0.00%,
12/13/2018,$850.00,0.81%,n/a,1,100.00%,
12/12/2018,$580.00,0.56%,n/a,1,100.00%,
12/11/2018,($930.00),-0.88%,0.00,1,0.00%,
12/10/2018,($300.00),-0.28%,0.00,1,0.00%,
12/9/2018,$0.00,0.00%,n/a,1,0.00%,
12/8/2018,$0.00,0.00%,n/a,1,0.00%,
12/7/2018,$890.00,0.85%,n/a,1,100.00%,
12/6/2018,$320.00,0.31%,n/a,1,100.00%,
12/5/2018,($670.00),-0.64%,0.00,1,0.00%,
12/4/2018,($250.00),-0.24%,0.00,1,0.00%,
12/3/2018,$70.00,0.07%,n/a,1,100.00%,
12/2/2018,$0.00,0.00%,n/a,1,0.00%,
12/1/2018,$0.00,0.00%,n/a,1,0.00%,
11/30/2018,$230.00,0.22%,n/a,1,100.00%,
11/29/2018,$510.00,0.49%,n/a,1,100.00%,
10/26/2018,$270.00,0.26%,n/a,1,100.00%,
10/25/2018,$730.00,0.71%,n/a,1,100.00%,
10/24/2018,($630.00),-0.61%,0.00,1,0.00%,
10/23/2018,($60.00),-0.06%,0.00,1,0.00%,
10/22/2018,$440.00,0.42%,n/a,1,100.00%,
10/21/2018,$0.00,0.00%,n/a,1,0.00%,
10/20/2018,$0.00,0.00%,n/a,1,0.00%,
10/19/2018,$220.00,0.21%,n/a,1,100.00%,
10/18/2018,($730.00),-0.70%,0.00,1,0.00%,
10/17/2018,($20.00),-0.02%,0.00,1,0.00%,
10/16/2018,$770.00,0.74%,n/a,1,100.00%,
10/15/2018,($130.00),-0.13%,0.00,1,0.00%,
10/14/2018,$0.00,0.00%,n/a,1,0.00%,
10/13/2018,$0.00,0.00%,n/a,1,0.00%,
10/12/2018,$480.00,0.47%,n/a,1,100.00%,
10/11/2018,$70.00,0.07%,n/a,1,100.00%,
10/10/2018,($190.00),-0.18%,0.00,1,0.00%,
10/9/2018,$100.00,0.10%,n/a,1,100.00%,
10/8/2018,$640.00,0.62%,n/a,1,100.00%,
10/7/2018,$0.00,0.00%,n/a,1,0.00%,
10/6/2018,$0.00,0.00%,n/a,1,0.00%,
10/5/2018,($270.00),-0.26%,0.13,2,50.00%,
