

Performance Summary

,All Trades,Long Trades,Short Trades,
#,Type,Date/Time,Signal,Price,Roll Over Pips,Shares/Ctrts - Profit/Loss,Net Profit - Cum Net Profit,% Profit,Run-up/Drawdown,Efficiency,Total Eff.,Comm.,Slippage

1,Sell Short,7/16/2018 13:30,Short,$2702,$0.00,1,$2000.00,7.40%,$2000.00,98.52%,,$0.00,$0.00
,Buy to Cover,7/24/2018 13:30,Profit Target,$2502,,$2000.00,$2000.00,,($30.00),100.00%,98.52%,$0.00,$0.00
2,Buy,7/30/2018 13:30,Buy,$2506,$0.00,1,($1000.00),-3.99%,$70.00,6.54%,,$0.00,$0.00
,Sell,7/31/2018 13:30,Stop Loss,$2406,,($1000.00),$1000.00,,($1000.00),0.00%,-93.46%,$0.00,$0.00
3,Buy,8/6/2018 13:30,Buy,$2362,$0.00,1,$2000.00,8.47%,$2000.00,83.68%,,$0.00,$0.00
,Sell,8/24/2018 10:43,Profit Target,$2562,,$2000.00,$3000.00,,($390.00),100.00%,83.68%,$0.00,$0.00
4,Sell Short,8/30/2018 13:30,Short,$2509,$0.00,1,$580.00,2.31%,$1390.00,64.06%,,$0.00,$0.00
,Buy to Cover,9/24/2018 13:30,Buy,$2451,,$580.00,$3580.00,,($780.00),62.67%,26.73%,$0.00,$0.00
5,Buy,9/24/2018 13:30,Buy,$2451,$0.00,1,($1000.00),-4.08%,$190.00,15.97%,,$0.00,$0.00
,Sell,9/27/2018 10:43,Stop Loss,$2351,,($1000.00),$2580.00,,($1000.00),0.00%,-84.03%,$0.00,$0.00
6,Sell Short,10/3/2018 13:30,Short,$2237,$0.00,1,($150.00),-0.67%,$190.00,30.65%,,$0.00,$0.00
,Buy to Cover,10/5/2018 13:30,Buy,$2252,,($150.00),$2430.00,,($430.00),45.16%,-24.19%,$0.00,$0.00
7,Buy,10/5/2018 13:30,Buy,$2252,$0.00,1,$2000.00,8.88%,$2000.00,92.59%,,$0.00,$0.00
,Sell,10/26/2018 10:43,Profit Target,$2452,,$2000.00,$4430.00,,($160.00),100.00%,92.59%,$0.00,$0.00
8,Buy,11/29/2018 10:43,Buy,$2308,$0.00,1,$2000.00,8.67%,$2000.00,88.89%,,$0.00,$0.00
,Sell,12/24/2018 10:43,Profit Target,$2508,,$2000.00,$6430.00,,($250.00),100.00%,88.89%,$0.00,$0.00
9,Sell Short,1/8/2019 10:43,Short,$2577,$0.00,1,$1110.00,4.31%,$1710.00,94.48%,,$0.00,$0.00
,Buy to Cover,1/28/2019 13:30,Buy,$2466,,$1110.00,$7540.00,,($100.00),66.85%,61.33%,$0.00,$0.00
10,Buy,1/28/2019 13:30,Buy,$2466,$0.00,1,($1000.00),-4.06%,$60.00,5.66%,,$0.00,$0.00
,Sell,1/30/2019 10:43,Stop Loss,$2366,,($1000.00),$6540.00,,($1000.00),0.00%,-94.34%,$0.00,$0.00
11,Buy,2/8/2019 10:43,Buy,$2413,$0.00,1,($240.00),-0.99%,$1050.00,75.00%,,$0.00,$0.00
,Sell,2/28/2019 13:30,Short,$2389,,($240.00),$6300.00,,($350.00),7.86%,-17.14%,$0.00,$0.00
12,Sell Short,2/28/2019 13:30,Short,$2389,$0.00,1,$270.00,1.13%,$970.00,71.32%,,$0.00,$0.00
,Buy to Cover,3/13/2019 10:43,Buy,$2362,,$270.00,$6570.00,,($390.00),48.53%,19.85%,$0.00,$0.00
13,Buy,3/13/2019 10:43,Buy,$2362,$0.00,1,($1000.00),-4.23%,$530.00,34.64%,,$0.00,$0.00
,Sell,3/21/2019 13:30,Stop Loss,$2262,,($1000.00),$5570.00,,($1000.00),0.00%,-65.36%,$0.00,$0.00
14,Sell Short,4/9/2019 13:30,Short,$2572,$0.00,1,$390.00,1.52%,$1710.00,85.50%,,$0.00,$0.00
,Buy to Cover,5/2/2019 13:30,Buy,$2533,,$390.00,$5960.00,,($290.00),34.00%,19.50%,$0.00,$0.00
15,Buy,5/2/2019 13:30,Buy,$2533,$0.00,1,($1000.00),-3.95%,$340.00,25.37%,,$0.00,$0.00
,Sell,5/15/2019 10:43,Stop Loss,$2433,,($1000.00),$4960.00,,($1000.00),0.00%,-74.63%,$0.00,$0.00
16,Sell Short,6/20/2019 13:30,Short,$2633,$0.00,1,($1000.00),-3.80%,$340.00,25.37%,,$0.00,$0.00
,Buy to Cover,7/8/2019 10:43,Stop Loss,$2733,,($1000.00),$3960.00,,($1000.00),0.00%,-74.63%,$0.00,$0.00
17,Buy,8/15/2019 10:43,Buy,$2351,$0.00,1,$2000.00,8.51%,$2000.00,78.13%,,$0.00,$0.00
,Sell,9/19/2019 10:43,Profit Target,$2551,,$2000.00,$5960.00,,($560.00),100.00%,78.13%,$0.00,$0.00
18,Sell Short,9/27/2019 13:30,Short,$2620,$0.00,1,($330.00),-1.26%,$990.00,59.28%,,$0.00,$0.00
,Buy to Cover,10/15/2019 13:30,Buy,$2653,,($330.00),$5630.00,,($680.00),20.96%,-19.76%,$0.00,$0.00
19,Buy,10/15/2019 13:30,Buy,$2653,$0.00,1,($1000.00),-3.77%,$250.00,20.00%,,$0.00,$0.00
,Sell,10/23/2019 10:43,Stop Loss,$2553,,($1000.00),$4630.00,,($1000.00),0.00%,-80.00%,$0.00,$0.00
20,Sell Short,11/6/2019 13:30,Short,$2572,$0.00,1,($1000.00),-3.89%,$350.00,25.93%,,$0.00,$0.00
,Buy to Cover,11/12/2019 10:43,Stop Loss,$2672,,($1000.00),$3630.00,,($1000.00),0.00%,-74.07%,$0.00,$0.00
21,Buy,12/11/2019 10:43,Buy,$2718,$0.00,1,($1000.00),-3.68%,$290.00,22.48%,,$0.00,$0.00
,Sell,12/18/2019 13:30,Stop Loss,$2618,,($1000.00),$2630.00,,($1000.00),0.00%,-77.52%,$0.00,$0.00
22,Buy,12/27/2019 10:43,Buy,$2548,$0.00,1,$2050.00,8.05%,$2050.00,100.00%,,$0.00,$0.00
,Sell,1/14/2020 10:43,Profit Target,$2753,,$2050.00,$4680.00,,$0.00,100.00%,100.00%,$0.00,$0.00
23,Sell Short,2/6/2020 10:43,Short,$2924,$0.00,1,($1000.00),-3.42%,$290.00,22.48%,,$0.00,$0.00
,Buy to Cover,2/7/2020 10:43,Stop Loss,$3024,,($1000.00),$3680.00,,($1000.00),0.00%,-77.52%,$0.00,$0.00
24,Sell Short,2/14/2020 13:30,Short,$3019,$0.00,1,$2000.00,6.62%,$2000.00,90.50%,,$0.00,$0.00
,Buy to Cover,2/28/2020 10:43,Profit Target,$2819,,$2000.00,$5680.00,,($210.00),100.00%,90.50%,$0.00,$0.00
25,Sell Short,3/12/2020 13:30,Short,$2641,$0.00,1,$2000.00,7.57%,$2000.00,93.90%,,$0.00,$0.00
,Buy to Cover,3/17/2020 10:43,Profit Target,$2441,,$2000.00,$7680.00,,($130.00),100.00%,93.90%,$0.00,$0.00
26,Buy,3/26/2020 10:43,Buy,$2385,$0.00,1,$1270.00,5.32%,$1840.00,83.26%,,$0.00,$0.00
,Sell,5/6/2020 10:43,Short,$2512,,$1270.00,$8950.00,,($370.00),74.21%,57.47%,$0.00,$0.00
27,Sell Short,5/6/2020 10:43,Short,$2512,$0.00,1,($1000.00),-3.98%,$360.00,26.47%,,$0.00,$0.00
,Buy to Cover,5/11/2020 10:43,Stop Loss,$2612,,($1000.00),$7950.00,,($1000.00),0.00%,-73.53%,$0.00,$0.00
