Performance Summary,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,All Trades,Long Trades,Short Trades,,,,,,,,,,,
Max. Trade Drawdown,($4550.00),($4550.00),$0.00,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Trade Analysis,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TradeStation Trade Analysis,,,,,,,,,,,,,,
,All Trades,Winners,Losers,,,,,,,,,,,
Total Number of Trades,105,56,49,,,,,,,,,,,
Avg. Trade Net Profit,$1040.83,$3897.46,($2223.88),,,,,,,,,,,
1 Std. Deviation of Avg. Trade,$3535.52,$2369.67,$498.08,,,,,,,,,,,
Avg. Trade + 1 Std. Deviation,$4576.35,$6267.13,($1725.79),,,,,,,,,,,
Avg. Trade - 1 Std. Deviation,($2494.68),$1527.78,($2721.96),,,,,,,,,,,
Coefficient of Variation,339.68%,60.80%,22.40%,,,,,,,,,,,
,,,,,,,,,,,,,,
Time Averages,,,,,,,,,,,,,,
Avg. Time in Trades,5 days 8 hours 21 Minutes,6 days 21 hours 32 Minutes,3 days 13 hours 50 Minutes,,,,,,,,,,,
Avg. Time Between Trades,11 days 3 hours 45 Minutes,24 days 5 hours 32 Minutes,30 days 8 hours 21 Minutes,,,,,,,,,,,
Avg. Time Between Trade Profit Peaks,392 days 20 hours 51 Minutes,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Outliers,Total,Positive,Negative,,,,,,,,,,,
Number of Outliers,0,0,0,,,,,,,,,,,
Outlier Profit/Loss,$0.00,$0.00,$0.00,,,,,,,,,,,
,,,,,,,,,,,,,,
Run-up/Drawdown,,Run-up,Drawdown,,,,,,,,,,,
Max. Value,,$7000.00,($4550.00),,,,,,,,,,,
Max. Value Date,,11/05/2021,3/19/2020,,,,,,,,,,,
Avg. Value,,$3085.60,($1569.64),,,,,,,,,,,
1 Std. Deviation,,$2302.05,$899.69,,,,,,,,,,,
Avg. + 1 Std. Deviation,,$5387.64,($669.95),,,,,,,,,,,
Avg. - 1 Std. Deviation,,$783.55,($2469.34),,,,,,,,,,,
Coefficient of Variation,,74.61%,57.32%,,,,,,,,,,,
,,,,,,,,,,,,,,
Efficiency Analysis,Total,Entry,Exit,,,,,,,,,,,
Avg. Efficiency,6.55%,58.41%,48.15%,,,,,,,,,,,
1 Std. Deviation,71.36%,29.39%,46.73%,,,,,,,,,,,
Avg. + 1 Std. Deviation,77.92%,87.80%,94.88%,,,,,,,,,,,
Avg. - 1 Std. Deviation,-64.81%,29.01%,1.41%,,,,,,,,,,,
Coefficient of Variation,1089.19%,50.33%,97.07%,,,,,,,,,,,
,,,,,,,,,,,,,,
TradeStation Trade Series Analysis,,,,,,,,,,,,,,
,,Winners,Losers,,,,,,,,,,,
Largest Profit/Loss,,$6970.00,($3030.00),,,,,,,,,,,
Largest Profit/Loss as % of Gross,,3.19%,2.78%,,,,,,,,,,,
Largest Consec. Profit/Loss,,$24690.00,($10120.00),,,,,,,,,,,
Largest Consec. Profit/Loss as % of Gross,,11.31%,9.29%,,,,,,,,,,,
,,,,,,,,,,,,,,
Winning Series,Number of Series,Avg. Gain per Series,Avg. Loss Next Trade,,,,,,,,,,,
1,16,$5053.59,($1967.50),,,,,,,,,,,
2,5,$3352.50,($2430.00),,,,,,,,,,,
3,4,$4322.08,($2530.00),,,,,,,,,,,
5,1,$2507.50,($2530.00),,,,,,,,,,,
6,1,$2463.75,($1530.00),,,,,,,,,,,
7,1,$3527.14,($2530.00),,,,,,,,,,,
,,,,,,,,,,,,,,
Losing Series,Number of Series,Avg. Loss per Series,Avg. Gain Next Trade,,,,,,,,,,,
1,14,($2030.00),$5460.38,,,,,,,,,,,
2,8,($2217.50),$5735.63,,,,,,,,,,,
3,5,($2330.00),$3682.50,,,,,,,,,,,
4,1,($2530.00),$5970.00,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TradeStation Trades List,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
#,Type,Date/Time,Signal,Price,Roll Over Pips,Shares/Ctrts - Profit/Loss,Net Profit - Cum Net Profit,% Profit,Run-up/Drawdown,Efficiency,Total Eff.,Comm.,Slippage,
,,,,,,,,,,,,,,
1,Buy,08/12/2018,LE,$2859.25,$0.00,1,$270.00,0.21%,$400.00,33.68%,,$2.50,$12.50,
,Sell,8/14/2018,Sell,$2865.25,,$300.00,$270.00,,($787.50),91.58%,25.26%,$2.50,$12.50,
2,Buy,8/23/2018,LE,$2881.75,$0.00,1,$1045.00,0.75%,$2962.50,96.73%,,$2.50,$12.50,
,Sell,09/10/2018,Sell,$2903.25,,$1075.00,$1315.00,,($100.00),38.37%,35.10%,$2.50,$12.50,
3,Buy,11/13/2018,LE,$2749.75,$0.00,1,($3030.00),-2.18%,$850.00,22.08%,,$2.50,$12.50,
,Sell,11/15/2018,Stop Loss,$2689.75,,($3000.00),($1715.00),,($3000.00),0.00%,-77.92%,$2.50,$12.50,
4,Buy,11/19/2018,LE,$2714.75,$0.00,1,($3030.00),-2.21%,$25.00,0.83%,,$2.50,$12.50,
,Sell,11/20/2018,Stop Loss,$2654.75,,($3000.00),($4745.00),,($3000.00),0.00%,-99.17%,$2.50,$12.50,
5,Buy,11/20/2018,LE,$2658.25,$0.00,1,$5970.00,4.51%,$6000.00,89.72%,,$2.50,$12.50,
,Sell,11/30/2018,Profit Target,$2778.25,,$6000.00,$1225.00,,($687.50),100.00%,89.72%,$2.50,$12.50,
6,Buy,12/04/2018,LE,$2718.00,$0.00,1,($2530.00),-1.84%,$1062.50,29.82%,,$2.50,$12.50,
,Sell,12/06/2018,Stop Loss,$2668.00,,($2500.00),($1305.00),,($2500.00),0.00%,-70.18%,$2.50,$12.50,
7,Buy,12/09/2018,LE,$2643.50,$0.00,1,($2530.00),-1.89%,$3075.00,55.16%,,$2.50,$12.50,
