Performance Summary,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,All Trades,Long Trades,Short Trades,,,,,,,,,,,
05/02/2023,$135.00,0.06%,n/a,1,100.00%,,,,,,,,,
4/27/2023,$3735.00,1.79%,n/a,1,100.00%,,,,,,,,,
4/26/2023,($862.50),-0.41%,0,1,0.00%,,,,,,,,,
4/25/2023,($865.00),-0.41%,0,1,0.00%,,,,,,,,,
4/17/2023,$647.50,0.31%,n/a,1,100.00%,,,,,,,,,
4/16/2023,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
4/15/2023,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
4/14/2023,($450.00),-0.21%,0,1,0.00%,,,,,,,,,
4/13/2023,$2687.50,1.30%,n/a,1,100.00%,,,,,,,,,
04/12/2023,($875.00),-0.42%,0,1,0.00%,,,,,,,,,
04/11/2023,$12.50,0.01%,n/a,1,100.00%,,,,,,,,,
04/10/2023,$212.50,0.10%,n/a,1,100.00%,,,,,,,,,
04/09/2023,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
04/08/2023,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
04/07/2023,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
04/06/2023,$737.50,0.36%,n/a,1,100.00%,,,,,,,,,
04/05/2023,($587.50),-0.28%,0,1,0.00%,,,,,,,,,
04/04/2023,($265.00),-0.13%,0,1,0.00%,,,,,,,,,
3/31/2023,$1610.00,0.78%,n/a,1,100.00%,,,,,,,,,
3/30/2023,$1125.00,0.55%,n/a,1,100.00%,,,,,,,,,
3/29/2023,$2800.00,1.39%,n/a,1,100.00%,,,,,,,,,
3/28/2023,($287.50),-0.14%,0,1,0.00%,,,,,,,,,
3/27/2023,$300.00,0.15%,n/a,1,100.00%,,,,,,,,,
3/26/2023,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
3/25/2023,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
3/24/2023,$1162.50,0.58%,n/a,1,100.00%,,,,,,,,,
3/23/2023,$375.00,0.19%,n/a,1,100.00%,,,,,,,,,
3/22/2023,($115.00),-0.06%,0,1,0.00%,,,,,,,,,
3/20/2023,($1677.50),-0.83%,0,1,0.00%,,,,,,,,,
3/19/2023,($852.50),-0.42%,0,1,0.00%,,,,,,,,,
02/07/2023,$2172.50,1.08%,n/a,1,100.00%,,,,,,,,,
02/06/2023,($1212.50),-0.60%,0,1,0.00%,,,,,,,,,
02/05/2023,$660.00,0.33%,n/a,1,100.00%,,,,,,,,,
02/02/2023,$2335.00,1.17%,n/a,1,100.00%,,,,,,,,,
02/01/2023,$2112.50,1.07%,n/a,1,100.00%,,,,,,,,,
1/31/2023,$2875.00,1.48%,n/a,1,100.00%,,,,,,,,,
1/30/2023,($352.50),-0.18%,0,1,0.00%,,,,,,,,,
1/27/2023,$472.50,0.24%,n/a,1,100.00%,,,,,,,,,
1/26/2023,$2175.00,1.13%,n/a,1,100.00%,,,,,,,,,
1/25/2023,($37.50),-0.02%,0,1,0.00%,,,,,,,,,
1/24/2023,($187.50),-0.10%,0,1,0.00%,,,,,,,,,
1/23/2023,$2400.00,1.26%,n/a,1,100.00%,,,,,,,,,
1/22/2023,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
1/21/2023,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
1/20/2023,$3650.00,1.96%,n/a,1,100.00%,,,,,,,,,
1/19/2023,($1512.50),-0.81%,0,1,0.00%,,,,,,,,,
1/18/2023,($2555.00),-1.34%,0,2,50.00%,,,,,,,,,
1/17/2023,$35.00,0.02%,n/a,1,100.00%,,,,,,,,,
01/10/2023,$1347.50,0.71%,n/a,1,100.00%,,,,,,,,,
01/09/2023,($52.50),-0.03%,0,1,0.00%,,,,,,,,,
12/26/2022,$397.50,0.21%,n/a,1,100.00%,,,,,,,,,
12/25/2022,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
12/24/2022,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
12/23/2022,$1025.00,0.55%,n/a,1,100.00%,,,,,,,,,
12/22/2022,($52.50),-0.03%,0,1,0.00%,,,,,,,,,
12/19/2022,($2765.00),-1.45%,0,1,0.00%,,,,,,,,,
12/18/2022,$235.00,0.12%,n/a,1,100.00%,,,,,,,,,
12/16/2022,($2790.00),-1.45%,0,1,0.00%,,,,,,,,,
12/15/2022,($1942.50),-1.00%,0.12,2,50.00%,,,,,,,,,
12/14/2022,($327.50),-0.17%,0,1,0.00%,,,,,,,,,
12/13/2022,$4522.50,2.37%,n/a,1,100.00%,,,,,,,,,
12/12/2022,$2837.50,1.51%,n/a,1,100.00%,,,,,,,,,
12/11/2022,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
12/10/2022,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
12/09/2022,($1450.00),-0.77%,0,1,0.00%,,,,,,,,,
12/08/2022,$1475.00,0.79%,n/a,1,100.00%,,,,,,,,,
12/07/2022,($412.50),-0.22%,0,1,0.00%,,,,,,,,,
12/06/2022,($2392.50),-1.26%,0,2,0.00%,,,,,,,,,
12/05/2022,($2730.00),-1.41%,0,2,0.00%,,,,,,,,,
12/04/2022,$60.00,0.03%,n/a,1,100.00%,,,,,,,,,
12/01/2022,$947.50,0.49%,n/a,1,100.00%,,,,,,,,,
11/30/2022,$5962.50,3.20%,n/a,1,100.00%,,,,,,,,,
11/29/2022,($412.50),-0.22%,0,1,0.00%,,,,,,,,,
11/28/2022,($3112.50),-1.64%,0,1,0.00%,,,,,,,,,
11/27/2022,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
11/26/2022,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
11/25/2022,($25.00),-0.01%,0,1,0.00%,,,,,,,,,
11/24/2022,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
11/23/2022,$1137.50,0.60%,n/a,1,100.00%,,,,,,,,,
11/22/2022,$2612.50,1.40%,n/a,1,100.00%,,,,,,,,,
11/21/2022,($800.00),-0.43%,0,1,0.00%,,,,,,,,,
11/20/2022,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
11/19/2022,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
11/18/2022,$937.50,0.50%,n/a,1,100.00%,,,,,,,,,
11/17/2022,($2480.00),-1.32%,0,2,0.00%,,,,,,,,,
11/16/2022,($1550.00),-0.82%,0,1,0.00%,,,,,,,,,
11/15/2022,$1675.00,0.89%,n/a,1,100.00%,,,,,,,,,
11/14/2022,($452.50),-0.24%,0,1,0.00%,,,,,,,,,
08/11/2022,$2472.50,1.33%,n/a,1,100.00%,,,,,,,,,
08/10/2022,$4275.00,2.35%,n/a,1,100.00%,,,,,,,,,
08/09/2022,($862.50),-0.47%,0,1,0.00%,,,,,,,,,
08/08/2022,($250.00),-0.14%,0,1,0.00%,,,,,,,,,
08/07/2022,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
08/06/2022,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
08/05/2022,($275.00),-0.15%,0,1,0.00%,,,,,,,,,
08/04/2022,($200.00),-0.11%,0,1,0.00%,,,,,,,,,
08/03/2022,$3125.00,1.73%,n/a,1,100.00%,,,,,,,,,
08/02/2022,($1337.50),-0.74%,0,1,0.00%,,,,,,,,,
08/01/2022,$22.50,0.01%,n/a,1,100.00%,,,,,,,,,
7/28/2022,$2722.50,1.52%,n/a,1,100.00%,,,,,,,,,
7/27/2022,$5062.50,2.91%,n/a,1,100.00%,,,,,,,,,
7/26/2022,($3442.50),-1.94%,0,2,0.00%,,,,,,,,,
7/25/2022,$250.00,0.14%,n/a,1,100.00%,,,,,,,,,
7/24/2022,($152.50),-0.09%,0,1,0.00%,,,,,,,,,
7/19/2022,$5185.00,3.01%,n/a,1,100.00%,,,,,,,,,
7/18/2022,($1562.50),-0.90%,0,1,0.00%,,,,,,,,,
7/17/2022,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
7/16/2022,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
7/15/2022,$3587.50,2.11%,n/a,1,100.00%,,,,,,,,,
7/14/2022,($3880.00),-2.23%,0,2,0.00%,,,,,,,,,
7/13/2022,($962.50),-0.55%,0,1,0.00%,,,,,,,,,
07/12/2022,($1650.00),-0.93%,0,1,0.00%,,,,,,,,,
07/11/2022,($2225.00),-1.24%,0,1,0.00%,,,,,,,,,
07/10/2022,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
07/09/2022,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
07/08/2022,($187.50),-0.10%,0,1,0.00%,,,,,,,,,
07/07/2022,$2837.50,1.61%,n/a,1,100.00%,,,,,,,,,
07/06/2022,$712.50,0.41%,n/a,1,100.00%,,,,,,,,,
07/05/2022,$337.50,0.19%,n/a,1,100.00%,,,,,,,,,
07/04/2022,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
07/03/2022,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
07/02/2022,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
07/01/2022,$1887.50,1.09%,n/a,1,100.00%,,,,,,,,,
6/30/2022,$360.00,0.21%,n/a,1,100.00%,,,,,,,,,
06/01/2022,($2152.50),-1.23%,0,1,0.00%,,,,,,,,,
5/31/2022,($377.50),-0.22%,0,1,0.00%,,,,,,,,,
5/27/2022,$1697.50,0.98%,n/a,1,100.00%,,,,,,,,,
5/26/2022,$3950.00,2.33%,n/a,1,100.00%,,,,,,,,,
5/25/2022,$1812.50,1.08%,n/a,1,100.00%,,,,,,,,,
5/24/2022,($490.00),-0.29%,0,1,0.00%,,,,,,,,,
03/06/2022,($3440.00),-2.00%,0,1,0.00%,,,,,,,,,
03/05/2022,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
03/04/2022,($1600.00),-0.92%,0,1,0.00%,,,,,,,,,
03/03/2022,($1125.00),-0.64%,0,1,0.00%,,,,,,,,,
03/02/2022,$3900.00,2.28%,n/a,1,100.00%,,,,,,,,,
03/01/2022,($265.00),-0.15%,0,1,0.00%,,,,,,,,,
12/21/2021,$4147.50,2.49%,n/a,1,100.00%,,,,,,,,,
12/20/2021,($477.50),-0.29%,0,1,0.00%,,,,,,,,,
12/19/2021,($1565.00),-0.93%,0,1,0.00%,,,,,,,,,
12/18/2021,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
12/17/2021,($2462.50),-1.44%,0,1,0.00%,,,,,,,,,
12/16/2021,($2062.50),-1.19%,0,1,0.00%,,,,,,,,,
12/15/2021,$3625.00,2.13%,n/a,1,100.00%,,,,,,,,,
12/14/2021,($2442.50),-1.42%,0,2,0.00%,,,,,,,,,
12/13/2021,($2200.00),-1.26%,0,1,0.00%,,,,,,,,,
12/12/2021,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
12/11/2021,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
12/10/2021,$2187.50,1.27%,n/a,1,100.00%,,,,,,,,,
12/09/2021,($140.00),-0.08%,0,1,0.00%,,,,,,,,,
12/01/2021,($1452.50),-0.84%,0,1,0.00%,,,,,,,,,
11/30/2021,($1077.50),-0.62%,0,1,0.00%,,,,,,,,,
11/23/2021,$310.00,0.18%,n/a,1,100.00%,,,,,,,,,
11/22/2021,($737.50),-0.42%,0,1,0.00%,,,,,,,,,
11/21/2021,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
11/20/2021,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
11/19/2021,($350.00),-0.20%,0,1,0.00%,,,,,,,,,
11/18/2021,$762.50,0.44%,n/a,1,100.00%,,,,,,,,,
11/17/2021,($487.50),-0.28%,0,1,0.00%,,,,,,,,,
11/16/2021,$850.00,0.49%,n/a,1,100.00%,,,,,,,,,
11/15/2021,$37.50,0.02%,n/a,1,100.00%,,,,,,,,,
11/14/2021,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
11/13/2021,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
11/12/2021,$1762.50,1.02%,n/a,1,100.00%,,,,,,,,,
11/11/2021,$50.00,0.03%,n/a,1,100.00%,,,,,,,,,
11/10/2021,($1812.50),-1.04%,0,1,0.00%,,,,,,,,,
11/09/2021,$160.00,0.09%,n/a,1,100.00%,,,,,,,,,
11/05/2021,$760.00,0.44%,n/a,1,100.00%,,,,,,,,,
11/04/2021,$1050.00,0.61%,n/a,1,100.00%,,,,,,,,,
11/03/2021,$1437.50,0.84%,n/a,1,100.00%,,,,,,,,,
11/02/2021,$887.50,0.52%,n/a,1,100.00%,,,,,,,,,
11/01/2021,$437.50,0.26%,n/a,1,100.00%,,,,,,,,,
10/31/2021,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
10/30/2021,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
10/29/2021,$475.00,0.28%,n/a,1,100.00%,,,,,,,,,
10/28/2021,$2150.00,1.29%,n/a,1,100.00%,,,,,,,,,
10/27/2021,($227.50),-0.14%,0,1,0.00%,,,,,,,,,
9/23/2021,$2735.00,1.66%,n/a,1,100.00%,,,,,,,,,
9/22/2021,$2037.50,1.25%,n/a,1,100.00%,,,,,,,,,
9/21/2021,$322.50,0.20%,n/a,1,100.00%,,,,,,,,,
9/19/2021,($1752.50),-1.07%,0,1,0.00%,,,,,,,,,
9/18/2021,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
9/17/2021,($2125.00),-1.28%,0,1,0.00%,,,,,,,,,
9/16/2021,($387.50),-0.23%,0,1,0.00%,,,,,,,,,
9/15/2021,$1862.50,1.13%,n/a,1,100.00%,,,,,,,,,
9/14/2021,($1517.50),-0.91%,0,2,0.00%,,,,,,,,,
9/13/2021,$525.00,0.32%,n/a,1,100.00%,,,,,,,,,
09/12/2021,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
09/11/2021,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
09/10/2021,($1700.00),-1.02%,0,1,0.00%,,,,,,,,,
09/09/2021,$35.00,0.02%,n/a,1,100.00%,,,,,,,,,
09/05/2021,($90.00),-0.05%,0,1,0.00%,,,,,,,,,
09/04/2021,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
09/03/2021,($37.50),-0.02%,0,1,0.00%,,,,,,,,,
09/02/2021,$700.00,0.42%,n/a,1,100.00%,,,,,,,,,
09/01/2021,($77.50),-0.05%,0,1,0.00%,,,,,,,,,
8/25/2021,$547.50,0.33%,n/a,1,100.00%,,,,,,,,,
8/24/2021,$350.00,0.21%,n/a,1,100.00%,,,,,,,,,
8/23/2021,$1925.00,1.17%,n/a,1,100.00%,,,,,,,,,
8/22/2021,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
8/21/2021,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
8/20/2021,$1775.00,1.09%,n/a,1,100.00%,,,,,,,,,
8/19/2021,$350.00,0.22%,n/a,1,100.00%,,,,,,,,,
8/18/2021,($2630.00),-1.60%,0.08,2,50.00%,,,,,,,,,
8/17/2021,$322.50,0.20%,n/a,1,100.00%,,,,,,,,,
08/10/2021,$160.00,0.10%,n/a,1,100.00%,,,,,,,,,
08/09/2021,($187.50),-0.11%,0,1,0.00%,,,,,,,,,
08/08/2021,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
08/07/2021,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
08/06/2021,$400.00,0.24%,n/a,1,100.00%,,,,,,,,,
08/05/2021,$1337.50,0.82%,n/a,1,100.00%,,,,,,,,,
08/04/2021,($1012.50),-0.62%,0,1,0.00%,,,,,,,,,
08/03/2021,$1762.50,1.09%,n/a,1,100.00%,,,,,,,,,
08/02/2021,($487.50),-0.30%,0,1,0.00%,,,,,,,,,
08/01/2021,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
7/31/2021,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
7/30/2021,($1112.50),-0.68%,0,1,0.00%,,,,,,,,,
7/29/2021,$900.00,0.55%,n/a,1,100.00%,,,,,,,,,
7/28/2021,($37.50),-0.02%,0,1,0.00%,,,,,,,,,
7/27/2021,$710.00,0.44%,n/a,1,100.00%,,,,,,,,,
7/19/2021,($2927.50),-1.78%,0,1,0.00%,,,,,,,,,
7/18/2021,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
7/17/2021,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
7/16/2021,($1675.00),-1.01%,0,1,0.00%,,,,,,,,,
7/15/2021,($787.50),-0.47%,0,1,0.00%,,,,,,,,,
7/14/2021,$325.00,0.19%,n/a,1,100.00%,,,,,,,,,
7/13/2021,($762.50),-0.45%,0,1,0.00%,,,,,,,,,
07/12/2021,$825.00,0.49%,n/a,1,100.00%,,,,,,,,,
07/11/2021,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
07/10/2021,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
07/09/2021,$2350.00,1.43%,n/a,1,100.00%,,,,,,,,,
07/08/2021,$122.50,0.07%,n/a,1,100.00%,,,,,,,,,
6/20/2021,($740.00),-0.45%,0,1,0.00%,,,,,,,,,
6/19/2021,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
6/18/2021,($2937.50),-1.75%,0,1,0.00%,,,,,,,,,
6/17/2021,($37.50),-0.02%,0,1,0.00%,,,,,,,,,
6/16/2021,($1175.00),-0.69%,0,1,0.00%,,,,,,,,,
6/15/2021,($462.50),-0.27%,0,1,0.00%,,,,,,,,,
6/14/2021,$462.50,0.27%,n/a,1,100.00%,,,,,,,,,
6/13/2021,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
06/12/2021,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
06/11/2021,$387.50,0.23%,n/a,1,100.00%,,,,,,,,,
06/10/2021,$987.50,0.59%,n/a,1,100.00%,,,,,,,,,
06/09/2021,($362.50),-0.22%,0,1,0.00%,,,,,,,,,
06/08/2021,$12.50,0.01%,n/a,1,100.00%,,,,,,,,,
06/07/2021,($137.50),-0.08%,0,1,0.00%,,,,,,,,,
06/06/2021,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
06/05/2021,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
06/04/2021,$1850.00,1.11%,n/a,1,100.00%,,,,,,,,,
06/03/2021,($750.00),-0.45%,0,1,0.00%,,,,,,,,,
06/02/2021,$387.50,0.23%,n/a,1,100.00%,,,,,,,,,
06/01/2021,($15.00),-0.01%,0,1,0.00%,,,,,,,,,
05/12/2021,($3652.50),-2.14%,0,1,0.00%,,,,,,,,,
05/11/2021,($1862.50),-1.08%,0,1,0.00%,,,,,,,,,
05/10/2021,($2087.50),-1.20%,0,1,0.00%,,,,,,,,,
05/09/2021,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
05/08/2021,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
05/07/2021,$1550.00,0.90%,n/a,1,100.00%,,,,,,,,,
05/06/2021,$1712.50,1.00%,n/a,1,100.00%,,,,,,,,,
05/05/2021,$87.50,0.05%,n/a,1,100.00%,,,,,,,,,
05/04/2021,($1375.00),-0.80%,0,1,0.00%,,,,,,,,,
05/03/2021,$562.50,0.33%,n/a,1,100.00%,,,,,,,,,
05/02/2021,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
05/01/2021,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
4/30/2021,($1450.00),-0.84%,0,1,0.00%,,,,,,,,,
4/29/2021,$1362.50,0.79%,n/a,1,100.00%,,,,,,,,,
4/28/2021,($137.50),-0.08%,0,1,0.00%,,,,,,,,,
4/27/2021,($25.00),-0.01%,0,1,0.00%,,,,,,,,,
4/26/2021,$400.00,0.23%,n/a,1,100.00%,,,,,,,,,
4/25/2021,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
4/24/2021,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
4/23/2021,$2187.50,1.29%,n/a,1,100.00%,,,,,,,,,
4/22/2021,($1850.00),-1.08%,0,1,0.00%,,,,,,,,,
4/21/2021,$1912.50,1.13%,n/a,1,100.00%,,,,,,,,,
4/20/2021,($1450.00),-0.85%,0,1,0.00%,,,,,,,,,
4/19/2021,($1037.50),-0.60%,0,1,0.00%,,,,,,,,,
4/18/2021,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
4/17/2021,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
4/16/2021,$687.50,0.40%,n/a,1,100.00%,,,,,,,,,
4/15/2021,$2225.00,1.32%,n/a,1,100.00%,,,,,,,,,
4/14/2021,($290.00),-0.17%,0,1,0.00%,,,,,,,,,
12/15/2020,$2472.50,1.48%,n/a,1,100.00%,,,,,,,,,
12/14/2020,($675.00),-0.40%,0,1,0.00%,,,,,,,,,
12/13/2020,($840.00),-0.50%,0,1,0.00%,,,,,,,,,
12/01/2020,$1885.00,1.13%,n/a,1,100.00%,,,,,,,,,
11/30/2020,($402.50),-0.24%,0,1,0.00%,,,,,,,,,
11/24/2020,$2960.00,1.80%,n/a,1,100.00%,,,,,,,,,
11/23/2020,$1087.50,0.67%,n/a,1,100.00%,,,,,,,,,
11/22/2020,$372.50,0.23%,n/a,1,100.00%,,,,,,,,,
9/30/2020,$535.00,0.33%,n/a,1,100.00%,,,,,,,,,
9/29/2020,$172.50,0.11%,n/a,1,100.00%,,,,,,,,,
08/04/2020,$485.00,0.30%,n/a,1,100.00%,,,,,,,,,
08/03/2020,$1250.00,0.78%,n/a,1,100.00%,,,,,,,,,
08/02/2020,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
08/01/2020,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
7/31/2020,$737.50,0.46%,n/a,1,100.00%,,,,,,,,,
7/30/2020,($187.50),-0.12%,0,1,0.00%,,,,,,,,,
7/29/2020,$1975.00,1.25%,n/a,1,100.00%,,,,,,,,,
7/28/2020,($962.50),-0.61%,0,1,0.00%,,,,,,,,,
7/27/2020,$1412.50,0.90%,n/a,1,100.00%,,,,,,,,,
7/26/2020,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
7/25/2020,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
7/24/2020,($1175.00),-0.74%,0,1,0.00%,,,,,,,,,
7/23/2020,($1900.00),-1.19%,0,1,0.00%,,,,,,,,,
7/22/2020,$712.50,0.45%,n/a,1,100.00%,,,,,,,,,
7/21/2020,$300.00,0.19%,n/a,1,100.00%,,,,,,,,,
7/20/2020,$1562.50,0.99%,n/a,1,100.00%,,,,,,,,,
7/19/2020,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
7/18/2020,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
7/17/2020,$975.00,0.62%,n/a,1,100.00%,,,,,,,,,
7/16/2020,($215.00),-0.14%,0,1,0.00%,,,,,,,,,
7/14/2020,($1440.00),-0.91%,0,1,0.00%,,,,,,,,,
7/13/2020,($90.00),-0.06%,0,1,0.00%,,,,,,,,,
07/10/2020,($1452.50),-0.91%,0,1,0.00%,,,,,,,,,
07/09/2020,($3005.00),-1.84%,0,2,0.00%,,,,,,,,,
07/08/2020,$1350.00,0.84%,n/a,1,100.00%,,,,,,,,,
07/07/2020,$47.50,0.03%,n/a,1,100.00%,,,,,,,,,
6/30/2020,$1910.00,1.20%,n/a,1,100.00%,,,,,,,,,
6/29/2020,$2037.50,1.29%,n/a,1,100.00%,,,,,,,,,
6/28/2020,$1022.50,0.65%,n/a,1,100.00%,,,,,,,,,
6/26/2020,($1490.00),-0.94%,0,1,0.00%,,,,,,,,,
6/25/2020,($1667.50),-1.04%,0,2,0.00%,,,,,,,,,
6/24/2020,$97.50,0.06%,n/a,1,100.00%,,,,,,,,,
6/23/2020,$1460.00,0.92%,n/a,1,100.00%,,,,,,,,,
6/22/2020,$2562.50,1.65%,n/a,1,100.00%,,,,,,,,,
6/21/2020,$947.50,0.61%,n/a,1,100.00%,,,,,,,,,
6/19/2020,($1577.50),-1.01%,0,1,0.00%,,,,,,,,,
6/18/2020,$47.50,0.03%,n/a,1,100.00%,,,,,,,,,
5/14/2020,($1152.50),-0.73%,0,1,0.00%,,,,,,,,,
5/13/2020,($377.50),-0.24%,0,1,0.00%,,,,,,,,,
05/05/2020,$3172.50,2.05%,n/a,1,100.00%,,,,,,,,,
05/04/2020,$175.00,0.11%,n/a,1,100.00%,,,,,,,,,
05/03/2020,$1622.50,1.06%,n/a,1,100.00%,,,,,,,,,
05/01/2020,($3065.00),-1.97%,0,1,0.00%,,,,,,,,,
4/30/2020,$1535.00,1.00%,n/a,1,100.00%,,,,,,,,,
4/26/2020,$372.50,0.24%,n/a,1,100.00%,,,,,,,,,
4/25/2020,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
4/24/2020,$2437.50,1.61%,n/a,1,100.00%,,,,,,,,,
4/23/2020,($387.50),-0.26%,0,1,0.00%,,,,,,,,,
4/22/2020,$2825.00,1.90%,n/a,1,100.00%,,,,,,,,,
4/21/2020,($277.50),-0.19%,0,1,0.00%,,,,,,,,,
4/20/2020,($1530.00),-1.01%,0,1,0.00%,,,,,,,,,
4/16/2020,$4622.50,3.16%,n/a,1,100.00%,,,,,,,,,
4/15/2020,$347.50,0.24%,n/a,1,100.00%,,,,,,,,,
04/02/2020,($965.00),-0.66%,0,1,0.00%,,,,,,,,,
04/01/2020,($565.00),-0.38%,0,1,0.00%,,,,,,,,,
3/30/2020,$1735.00,1.19%,n/a,1,100.00%,,,,,,,,,
3/29/2020,$3235.00,2.27%,n/a,1,100.00%,,,,,,,,,
3/24/2020,$5622.50,4.11%,n/a,1,100.00%,,,,,,,,,
3/23/2020,($652.50),-0.47%,0,1,0.00%,,,,,,,,,
3/22/2020,($1530.00),-1.10%,0,1,0.00%,,,,,,,,,
3/20/2020,$3085.00,2.27%,n/a,1,100.00%,,,,,,,,,
3/19/2020,$1885.00,1.41%,n/a,1,100.00%,,,,,,,,,
03/11/2020,($1530.00),-1.13%,0,1,0.00%,,,,,,,,,
03/04/2020,$4547.50,3.47%,n/a,1,100.00%,,,,,,,,,
03/03/2020,$422.50,0.32%,n/a,1,100.00%,,,,,,,,,
2/23/2020,($2365.00),-1.78%,0,1,0.00%,,,,,,,,,
2/22/2020,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
2/21/2020,($1500.00),-1.12%,0,1,0.00%,,,,,,,,,
2/20/2020,($900.00),-0.67%,0,1,0.00%,,,,,,,,,
2/19/2020,$900.00,0.67%,n/a,1,100.00%,,,,,,,,,
2/18/2020,($587.50),-0.44%,0,1,0.00%,,,,,,,,,
2/17/2020,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
2/16/2020,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
2/15/2020,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
2/14/2020,$175.00,0.13%,n/a,1,100.00%,,,,,,,,,
2/13/2020,($150.00),-0.11%,0,1,0.00%,,,,,,,,,
02/12/2020,$1150.00,0.86%,n/a,1,100.00%,,,,,,,,,
02/11/2020,$225.00,0.17%,n/a,1,100.00%,,,,,,,,,
02/10/2020,$1375.00,1.04%,n/a,1,100.00%,,,,,,,,,
02/09/2020,$147.50,0.11%,n/a,1,100.00%,,,,,,,,,
02/05/2020,$1985.00,1.53%,n/a,1,100.00%,,,,,,,,,
02/04/2020,$2700.00,2.12%,n/a,1,100.00%,,,,,,,,,
02/03/2020,$1075.00,0.85%,n/a,1,100.00%,,,,,,,,,
02/02/2020,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
02/01/2020,$0.00,0.00%,n/a,1,0.00%,,,,,,,,,
1/31/2020,($3287.50),-2.54%,0,1,0.00%,,,,,,,,,
