

Performance Summary

,All Trades,Long Trades,Short Trades,
Total Net Profit,$114682.50,$43147.50,$71535.00,
Gross Profit,$212061.25,$64212.50,$147848.75,
Gross Loss,($97378.75),($21065.00),($76313.75),
Profit Factor,2.18,3.05,1.94,
,,,,
Roll Over Credit,$0.00,$0.00,$0.00,
Open Position P/L,$1282.50,$0.00,$1282.50,
,,,,
Select Total Net Profit,$120055.00,$43147.50,$76907.50,
Select Gross Profit,$212061.25,$64212.50,$147848.75,
Select Gross Loss,($92006.25),($21065.00),($70941.25),
Select Profit Factor,2.30,3.05,2.08,
,,,,
Adjusted Total Net Profit,$83824.73,$27993.73,$44578.07,
Adjusted Gross Profit,$192023.35,$53358.61,$130999.82,
Adjusted Gross Loss,($108198.61),($25364.88),($86421.75),
Adjusted Profit Factor,1.77,2.10,1.52,
,,,,
Total Number of Trades,193,59,134,
Percent Profitable,58.03%,59.32%,57.46%,
Winning Trades,112,35,77,
Losing Trades,81,24,57,
Even Trades,0,0,0,
,,,,
Avg. Trade Net Profit,$594.21,$731.31,$533.84,
Avg. Winning Trade,$1893.40,$1834.64,$1920.11,
Avg. Losing Trade,($1202.21),($877.71),($1338.84),
Ratio Avg. Win:Avg. Loss,1.57,2.09,1.43,
Largest Winning Trade,$5452.50,$5340.00,$5452.50,
Largest Losing Trade,($5372.50),($2103.75),($5372.50),
Largest Winner as % of Gross Profit,2.57%,8.32%,3.69%,
Largest Loser as % of Gross Loss,5.52%,9.99%,7.04%,
,,,,
Net Profit as % of Largest Loss,2134.62%,2050.98%,1331.50%,
Select Net Profit as % of Largest Loss,2234.62%,2050.98%,1431.50%,
Adjusted Net Profit as % of Largest Loss,1560.26%,1330.66%,829.75%,
,,,,
Max. Consecutive Winning Trades,8,7,6,
Max. Consecutive Losing Trades,5,5,5,
Avg. Bars in Total Trades,63.62,55.47,67.20,
Avg. Bars in Winning Trades,70.58,59.60,75.57,
Avg. Bars in Losing Trades,53.99,49.46,55.89,
Avg. Bars in Even Trades,0.00,0.00,0.00,
,,,,
Max. Shares/Contracts Held,1,1,1,
Total Shares/Contracts Held,194,59,135,
Account Size Required,$7356.25,$4688.75,$6893.75,
Total Slippage,$5790.00,$1770.00,$4020.00,
Total Commission,$965.00,$295.00,$670.00,
,,,,
Return on Initial Capital,114.68%,,,
Annual Rate of Return,4.68%,,,
Buy & Hold Return,-38.19%,,,
Return on Account,1558.98%,,,
Avg. Monthly Return,$950.53,,,
Std. Deviation of Monthly Return,$2514.81,,,
,,,,
Return Retracement Ratio,3.79,,,
RINA Index,242.55,,,
Sharpe Ratio,0.27,,,
K-Ratio,n/a,,,
,,,,
Trading Period,16 Years 4 Months 4 hours,,,
Percent of Time in the Market,47.98%,,,
Time in the Market,7 Years 10 Months 17 hours,,,
Longest Flat Period,20 days 7 hours,,,
,,,,
Max. Equity Run-up,$120846.25,,,
Date of Max. Equity Run-up,21/11/2022 21:00,,,
Max Equity Run-up as % of Initial Capital,120.85%,,,
,,,,
Max. Drawdown (Intra-Day Peak to Valley),,,,
Value,($10631.25),($6961.25),($10631.25),
Date,18/01/2023 09:00,,,
as % of Initial Capital,10.63%,6.96%,10.63%,
Net Profit as % of Drawdown,1078.73%,619.82%,672.87%,
Select Net Profit as % of Drawdown,1129.27%,619.82%,723.41%,
Adjusted Net Profit as % of Drawdown,788.47%,402.14%,419.31%,
,,,,
Max. Drawdown (Trade Close to Trade Close),,,,
Value,($7356.25),($4688.75),($6893.75),
Date,03/29/23 05:00,,,
as % of Initial Capital,7.36%,4.69%,6.89%,
Net Profit as % of Drawdown,1558.98%,920.23%,1037.68%,
Select Net Profit as % of Drawdown,1632.01%,920.23%,1115.61%,
Adjusted Net Profit as % of Drawdown,1139.50%,597.04%,646.64%,
,,,,
Max. Trade Drawdown,($6675.00),($2400.00),($6675.00),


Trade Analysis

,,,,
TradeStation Trade Analysis,,,,
,All Trades,Winners,Losers,
Total Number of Trades,193,112,81,
Avg. Trade Net Profit,$594.21,$1893.40,($1202.21),
1 Std. Deviation of Avg. Trade,$1965.11,$1372.49,$1011.84,
Avg. Trade + 1 Std. Deviation,$2559.32,$3265.90,($190.37),
Avg. Trade - 1 Std. Deviation,($1370.90),$520.91,($2214.05),
Coefficient of Variation,330.71%,72.49%,84.17%,
,,,,
Time Averages,,,,
Avg. Time in Trades,14 days 18 hours 54 Minutes,16 days 9 hours 34 Minutes,12 days 13 hours 25 Minutes,
Avg. Time Between Trades,4 days 7 hours 28 Minutes,16 days 14 hours 38 Minutes,32 days 16 hours 30 Minutes,
Avg. Time Between Trade Profit Peaks,264 days 10 hours 24 Minutes,,,
,,,,
Outliers,Total,Positive,Negative,
Number of Outliers,1,0,1,
Outlier Profit/Loss,($5372.50),$0.00,($5372.50),
,,,,
Run-up/Drawdown,,Run-up,Drawdown,
Max. Value,,$6693.75,($6675.00),
Max. Value Date,,24/08/2015,13/06/2013,
Avg. Value,,$2131.25,($987.47),
1 Std. Deviation,,$1428.91,$953.50,
Avg. + 1 Std. Deviation,,$3560.16,($33.97),
Avg. - 1 Std. Deviation,,$702.34,($1940.97),
Coefficient of Variation,,67.05%,96.56%,
,,,,
Efficiency Analysis,Total,Entry,Exit,
Avg. Efficiency,9.28%,66.50%,42.78%,
1 Std. Deviation,52.47%,27.22%,31.42%,
Avg. + 1 Std. Deviation,61.75%,93.72%,74.19%,
Avg. - 1 Std. Deviation,-43.19%,39.28%,11.36%,
Coefficient of Variation,565.64%,40.94%,73.45%,
,,,,
TradeStation Trade Series Analysis,,,,
,,Winners,Losers,
Largest Profit/Loss,,$5452.50,($5372.50),
Largest Profit/Loss as % of Gross,,2.57%,5.52%,
Largest Consec. Profit/Loss,,$17938.75,($6893.75),
Largest Consec. Profit/Loss as % of Gross,,8.46%,7.08%,
,,,,
Winning Series,Number of Series,Avg. Gain per Series,Avg. Loss Next Trade,
1,21,$1809.94,($1053.75),
2,14,$1848.93,($1416.25),
3,11,$1562.54,($1241.82),
4,3,$2165.00,($1645.42),
5,2,$2680.00,($2091.25),
8,1,$2242.34,($1322.50),
,,,,
Losing Series,Number of Series,Avg. Loss per Series,Avg. Gain Next Trade,
1,32,($1283.05),$1858.55,
2,11,($1372.22),$2191.14,
3,6,($936.04),$2010.83,
4,1,($597.50),$71.25,
5,1,($1378.75),$440.00,
,,,,


TradeStation Trades List

#,Type,Date/Time,Signal,Price,Roll Over Pips,Shares/Ctrts - Profit/Loss,Net Profit - Cum Net Profit,% Profit,Run-up/Drawdown,Efficiency,Total Eff.,Comm.,Slippage

1,Sell Short,04/04/2013 05:00,Short,$1.18900,$0.00,1,$1240.00,0.86%,$1487.50,98.35%,,$2.50,$15.00
,Buy to Cover,04/04/2013 09:00,Cover,$1.17880,,$1275.00,$1240.00,,($25.00),85.95%,84.30%,$2.50,$15.00
2,Buy,12/04/2013 13:00,Buy,$1.14130,$0.00,1,$1477.50,1.06%,$3575.00,96.95%,,$2.50,$15.00
,Sell,16/04/2013 09:00,Sell,$1.15340,,$1512.50,$2717.50,,($112.50),44.07%,41.02%,$2.50,$15.00
3,Sell Short,17/04/2013 21:00,Short,$1.14940,$0.00,1,($160.00),-0.09%,$2062.50,70.82%,,$2.50,$15.00
,Buy to Cover,26/04/2013 13:00,Cover,$1.15040,,($125.00),$2557.50,,($850.00),24.89%,-4.29%,$2.50,$15.00
4,Sell Short,02/05/2013 13:00,Short,$1.15400,$0.00,1,$4715.00,3.29%,$5212.50,99.76%,,$2.50,$15.00
,Buy to Cover,10/05/2013 16:00,Cover,$1.11600,,$4750.00,$7272.50,,($12.50),91.15%,90.91%,$2.50,$15.00
5,Buy,20/05/2013 21:00,Buy,$1.10940,$0.00,1,$2915.00,2.13%,$4225.00,71.01%,,$2.50,$15.00
,Sell,04/06/2013 05:00,Sell,$1.13300,,$2950.00,$10187.50,,($1725.00),78.57%,49.58%,$2.50,$15.00
6,Sell Short,10/06/2013 09:00,Short,$1.14390,$0.00,1,($5372.50),-3.73%,$712.50,9.64%,,$2.50,$15.00
,Buy to Cover,17/06/2013 13:00,Cover,$1.18660,,($5337.50),$4815.00,,($6675.00),18.10%,-72.25%,$2.50,$15.00
7,Sell Short,18/06/2013 05:00,Short,$1.18520,$0.00,1,$2890.00,1.97%,$4612.50,98.66%,,$2.50,$15.00
,Buy to Cover,21/06/2013 01:00,Cover,$1.16180,,$2925.00,$7705.00,,($62.50),63.90%,62.57%,$2.50,$15.00
8,Sell Short,25/06/2013 13:00,Short,$1.15400,$0.00,1,$2615.00,1.84%,$3975.00,85.71%,,$2.50,$15.00
,Buy to Cover,03/07/2013 09:00,Cover,$1.13280,,$2650.00,$10320.00,,($662.50),71.43%,57.14%,$2.50,$15.00
9,Sell Short,04/07/2013 13:00,Short,$1.13050,$0.00,1,($1797.50),-1.25%,$1862.50,44.88%,,$2.50,$15.00
,Buy to Cover,11/07/2013 05:00,Cover,$1.14460,,($1762.50),$8522.50,,($2287.50),12.65%,-42.47%,$2.50,$15.00
10,Sell Short,15/07/2013 09:00,Short,$1.13300,$0.00,1,($1335.00),-0.92%,$1375.00,48.03%,,$2.50,$15.00
,Buy to Cover,26/07/2013 05:00,Cover,$1.14340,,($1300.00),$7187.50,,($1487.50),6.55%,-45.41%,$2.50,$15.00
11,Sell Short,31/07/2013 13:00,Short,$1.14710,$0.00,1,($185.00),-0.10%,$2062.50,68.75%,,$2.50,$15.00
,Buy to Cover,05/08/2013 21:00,Cover,$1.14830,,($150.00),$7002.50,,($937.50),26.25%,-5.00%,$2.50,$15.00
12,Sell Short,12/08/2013 09:00,Short,$1.16400,$0.00,1,$365.00,0.27%,$2487.50,83.61%,,$2.50,$15.00
,Buy to Cover,20/08/2013 13:00,Cover,$1.16080,,$400.00,$7367.50,,($487.50),29.83%,13.45%,$2.50,$15.00
13,Sell Short,21/08/2013 13:00,Short,$1.15440,$0.00,1,($360.00),-0.23%,$1925.00,77.78%,,$2.50,$15.00
,Buy to Cover,27/08/2013 13:00,Cover,$1.15700,,($325.00),$7007.50,,($550.00),9.09%,-13.13%,$2.50,$15.00
14,Sell Short,29/08/2013 09:00,Short,$1.14880,$0.00,1,$890.00,0.64%,$3112.50,88.30%,,$2.50,$15.00
,Buy to Cover,16/09/2013 01:00,Cover,$1.14140,,$925.00,$7897.50,,($412.50),37.94%,26.24%,$2.50,$15.00
15,Sell Short,18/09/2013 01:00,Short,$1.13720,$0.00,1,($2597.50),-1.80%,$487.50,13.78%,,$2.50,$15.00
,Buy to Cover,03/10/2013 16:00,Cover,$1.15770,,($2562.50),$5300.00,,($3050.00),13.78%,-72.44%,$2.50,$15.00
16,Sell Short,09/10/2013 01:00,Short,$1.15920,$0.00,1,$615.00,0.45%,$2400.00,96.97%,,$2.50,$15.00
,Buy to Cover,18/10/2013 09:00,Cover,$1.15400,,$650.00,$5915.00,,($75.00),29.29%,26.26%,$2.50,$15.00
17,Buy,22/10/2013 16:00,Buy,$1.14970,$0.00,1,($210.00),-0.12%,$1462.50,82.98%,,$2.50,$15.00
,Sell,29/10/2013 16:00,Sell,$1.14830,,($175.00),$5705.00,,($300.00),7.09%,-9.93%,$2.50,$15.00
18,Sell Short,01/11/2013 09:00,Short,$1.14720,$0.00,1,($635.00),-0.42%,$1450.00,62.37%,,$2.50,$15.00
,Buy to Cover,07/11/2013 16:00,Cover,$1.15200,,($600.00),$5070.00,,($875.00),11.83%,-25.81%,$2.50,$15.00
19,Sell Short,08/11/2013 13:00,Short,$1.14140,$0.00,1,$4852.50,3.43%,$5550.00,98.89%,,$2.50,$15.00
,Buy to Cover,03/12/2013 09:00,Cover,$1.10230,,$4887.50,$9922.50,,($62.50),88.20%,87.08%,$2.50,$15.00
20,Sell Short,03/12/2013 21:00,Short,$1.10590,$0.00,1,$152.50,0.14%,$1737.50,64.06%,,$2.50,$15.00
,Buy to Cover,17/12/2013 21:00,Cover,$1.10440,,$187.50,$10075.00,,($975.00),42.86%,6.91%,$2.50,$15.00
21,Sell Short,18/12/2013 21:00,Short,$1.08870,$0.00,1,($972.50),-0.69%,$1362.50,53.96%,,$2.50,$15.00
,Buy to Cover,13/01/2014 01:00,Cover,$1.09620,,($937.50),$9102.50,,($1162.50),8.91%,-37.13%,$2.50,$15.00
22,Sell Short,14/01/2014 21:00,Short,$1.08880,$0.00,1,($2435.00),-1.76%,$787.50,22.26%,,$2.50,$15.00
,Buy to Cover,29/01/2014 13:00,Cover,$1.10800,,($2400.00),$6667.50,,($2750.00),9.89%,-67.84%,$2.50,$15.00
23,Buy,31/01/2014 05:00,Buy,$1.10520,$0.00,1,$52.50,0.06%,$2087.50,85.64%,,$2.50,$15.00
,Sell,10/02/2014 01:00,Sell,$1.10590,,$87.50,$6720.00,,($350.00),17.95%,3.59%,$2.50,$15.00
24,Buy,13/02/2014 05:00,Buy,$1.10910,$0.00,1,($572.50),-0.39%,$1037.50,52.87%,,$2.50,$15.00
,Sell,06/03/2014 01:00,Sell,$1.10480,,($537.50),$6147.50,,($925.00),19.75%,-27.39%,$2.50,$15.00
25,Sell Short,19/03/2014 16:00,Short,$1.11270,$0.00,1,$1602.50,1.18%,$3012.50,98.77%,,$2.50,$15.00
,Buy to Cover,07/04/2014 05:00,Cover,$1.09960,,$1637.50,$7750.00,,($37.50),54.92%,53.69%,$2.50,$15.00
26,Buy,23/04/2014 09:00,Buy,$1.10720,$0.00,1,$315.00,0.25%,$1700.00,58.37%,,$2.50,$15.00
,Sell,23/05/2014 16:00,Sell,$1.11000,,$350.00,$8065.00,,($1212.50),53.65%,12.02%,$2.50,$15.00
27,Buy,28/05/2014 13:00,Buy,$1.11170,$0.00,1,($997.50),-0.69%,$387.50,28.70%,,$2.50,$15.00
,Sell,03/06/2014 16:00,Sell,$1.10400,,($962.50),$7067.50,,($962.50),0.00%,-71.30%,$2.50,$15.00
28,Buy,06/06/2014 01:00,Buy,$1.10620,$0.00,1,$490.00,0.38%,$2200.00,84.21%,,$2.50,$15.00
,Sell,25/06/2014 16:00,Sell,$1.11040,,$525.00,$7557.50,,($412.50),35.89%,20.10%,$2.50,$15.00
29,Sell Short,01/07/2014 09:00,Short,$1.11320,$0.00,1,($85.00),-0.04%,$1025.00,83.67%,,$2.50,$15.00
,Buy to Cover,08/07/2014 13:00,Cover,$1.11360,,($50.00),$7472.50,,($200.00),12.24%,-4.08%,$2.50,$15.00
30,Sell Short,14/07/2014 09:00,Short,$1.11390,$0.00,1,$1077.50,0.80%,$1937.50,79.90%,,$2.50,$15.00
,Buy to Cover,06/08/2014 09:00,Cover,$1.10500,,$1112.50,$8550.00,,($487.50),65.98%,45.88%,$2.50,$15.00
31,Sell Short,11/08/2014 16:00,Short,$1.10740,$0.00,1,$3140.00,2.29%,$3700.00,98.34%,,$2.50,$15.00
,Buy to Cover,03/09/2014 16:00,Cover,$1.08200,,$3175.00,$11690.00,,($62.50),86.05%,84.39%,$2.50,$15.00
32,Sell Short,05/09/2014 16:00,Short,$1.08030,$0.00,1,$4177.50,3.12%,$4825.00,98.97%,,$2.50,$15.00
,Buy to Cover,19/09/2014 09:00,Cover,$1.04660,,$4212.50,$15867.50,,($50.00),87.44%,86.41%,$2.50,$15.00
33,Buy,23/09/2014 09:00,Buy,$1.05110,$0.00,1,$1340.00,1.05%,$3412.50,64.69%,,$2.50,$15.00
,Sell,19/10/2014 21:00,Sell,$1.06210,,$1375.00,$17207.50,,($1862.50),61.37%,26.07%,$2.50,$15.00
34,Buy,21/10/2014 05:00,Buy,$1.06770,$0.00,1,($1872.50),-1.38%,$150.00,6.59%,,$2.50,$15.00
,Sell,28/10/2014 09:00,Sell,$1.05300,,($1837.50),$15335.00,,($2125.00),12.64%,-80.77%,$2.50,$15.00
35,Sell Short,10/11/2014 21:00,Short,$0.99840,$0.00,1,$3140.00,2.54%,$3800.00,95.30%,,$2.50,$15.00
,Buy to Cover,20/11/2014 09:00,Cover,$0.97300,,$3175.00,$18475.00,,($187.50),84.33%,79.62%,$2.50,$15.00
36,Sell Short,25/11/2014 09:00,Short,$0.97370,$0.00,1,$2727.50,2.27%,$3162.50,78.82%,,$2.50,$15.00
,Buy to Cover,08/12/2014 05:00,Cover,$0.95160,,$2762.50,$21202.50,,($850.00),90.03%,68.85%,$2.50,$15.00
37,Buy,09/12/2014 05:00,Buy,$0.96150,$0.00,1,$3015.00,2.54%,$3912.50,95.43%,,$2.50,$15.00
,Sell,16/12/2014 13:00,Sell,$0.98590,,$3050.00,$24217.50,,($187.50),78.96%,74.39%,$2.50,$15.00
38,Sell Short,17/12/2014 21:00,Short,$0.96880,$0.00,1,$240.00,0.23%,$1762.50,77.47%,,$2.50,$15.00
,Buy to Cover,30/12/2014 13:00,Cover,$0.96660,,$275.00,$24457.50,,($512.50),34.62%,12.09%,$2.50,$15.00
39,Sell Short,02/01/2015 01:00,Short,$0.95790,$0.00,1,($2847.50),-2.35%,$350.00,7.98%,,$2.50,$15.00
,Buy to Cover,02/02/2015 16:00,Cover,$0.98040,,($2812.50),$21610.00,,($4037.50),27.92%,-64.10%,$2.50,$15.00
40,Sell Short,04/02/2015 01:00,Short,$0.97480,$0.00,1,$1040.00,0.88%,$2262.50,73.28%,,$2.50,$15.00
,Buy to Cover,12/02/2015 13:00,Cover,$0.96620,,$1075.00,$22650.00,,($825.00),61.54%,34.82%,$2.50,$15.00
41,Sell Short,17/02/2015 16:00,Short,$0.96490,$0.00,1,$1602.50,1.36%,$2362.50,72.69%,,$2.50,$15.00
,Buy to Cover,16/03/2015 05:00,Cover,$0.95180,,$1637.50,$24252.50,,($887.50),77.69%,50.38%,$2.50,$15.00
42,Sell Short,16/03/2015 09:00,Short,$0.95040,$0.00,1,($2147.50),-1.78%,$137.50,5.98%,,$2.50,$15.00
,Buy to Cover,26/03/2015 05:00,Cover,$0.96730,,($2112.50),$22105.00,,($2162.50),2.17%,-91.85%,$2.50,$15.00
43,Sell Short,30/03/2015 09:00,Short,$0.96190,$0.00,1,($922.50),-0.74%,$1050.00,52.83%,,$2.50,$15.00
,Buy to Cover,20/04/2015 05:00,Cover,$0.96900,,($887.50),$21182.50,,($937.50),2.52%,-44.65%,$2.50,$15.00
44,Sell Short,20/04/2015 16:00,Short,$0.96340,$0.00,1,$3027.50,2.54%,$3362.50,80.06%,,$2.50,$15.00
,Buy to Cover,26/05/2015 16:00,Cover,$0.93890,,$3062.50,$24210.00,,($837.50),92.86%,72.92%,$2.50,$15.00
45,Sell Short,02/06/2015 21:00,Short,$0.93120,$0.00,1,($1135.00),-0.95%,$1400.00,51.14%,,$2.50,$15.00
,Buy to Cover,10/06/2015 05:00,Cover,$0.94000,,($1100.00),$23075.00,,($1337.50),8.68%,-40.18%,$2.50,$15.00
46,Sell Short,12/06/2015 09:00,Short,$0.93380,$0.00,1,($2191.25),-1.85%,$612.50,21.63%,,$2.50,$15.00
,Buy to Cover,08/07/2015 13:00,Cover,$0.95105,,($2156.25),$20883.75,,($2218.75),2.21%,-76.16%,$2.50,$15.00
47,Buy,21/07/2015 16:00,Buy,$0.93240,$0.00,1,($497.50),-0.40%,$700.00,53.85%,,$2.50,$15.00
,Sell,05/08/2015 01:00,Sell,$0.92870,,($462.50),$20386.25,,($600.00),10.58%,-35.58%,$2.50,$15.00
48,Buy,07/08/2015 16:00,Buy,$0.93020,$0.00,1,$5340.00,4.62%,$6693.75,88.22%,,$2.50,$15.00
,Sell,24/08/2015 13:00,Sell,$0.97320,,$5375.00,$25726.25,,($893.75),82.62%,70.84%,$2.50,$15.00
49,Sell Short,27/08/2015 01:00,Short,$0.95670,$0.00,1,($1028.75),-0.83%,$1331.25,53.12%,,$2.50,$15.00
,Buy to Cover,04/09/2015 09:00,Cover,$0.96465,,($993.75),$24697.50,,($1175.00),7.23%,-39.65%,$2.50,$15.00
50,Sell Short,08/09/2015 09:00,Short,$0.95750,$0.00,1,$83.75,0.10%,$1137.50,49.59%,,$2.50,$15.00
,Buy to Cover,12/10/2015 09:00,Cover,$0.95655,,$118.75,$24781.25,,($1156.25),55.59%,5.18%,$2.50,$15.00
51,Buy,12/10/2015 16:00,Buy,$0.95770,$0.00,1,$308.75,0.29%,$1643.75,93.26%,,$2.50,$15.00
,Sell,20/10/2015 09:00,Sell,$0.96045,,$343.75,$25090.00,,($118.75),26.24%,19.50%,$2.50,$15.00
52,Buy,27/10/2015 13:00,Buy,$0.95440,$0.00,1,($2103.75),-1.73%,$493.75,17.67%,,$2.50,$15.00
,Sell,06/11/2015 13:00,Sell,$0.93785,,($2068.75),$22986.25,,($2300.00),8.28%,-74.05%,$2.50,$15.00
53,Buy,12/11/2015 13:00,Buy,$0.93805,$0.00,1,$733.75,0.66%,$2068.75,71.49%,,$2.50,$15.00
,Sell,16/12/2015 05:00,Sell,$0.94420,,$768.75,$23720.00,,($825.00),55.08%,26.57%,$2.50,$15.00
54,Buy,31/12/2015 01:00,Buy,$0.95290,$0.00,1,$1815.00,1.55%,$3225.00,99.23%,,$2.50,$15.00
,Sell,13/01/2016 01:00,Sell,$0.96770,,$1850.00,$25535.00,,($25.00),57.69%,56.92%,$2.50,$15.00
55,Buy,13/01/2016 21:00,Buy,$0.97245,$0.00,1,($610.00),-0.47%,$1506.25,56.84%,,$2.50,$15.00
,Sell,26/01/2016 01:00,Sell,$0.96785,,($575.00),$24925.00,,($1143.75),21.46%,-21.70%,$2.50,$15.00
56,Sell Short,26/01/2016 09:00,Short,$0.96675,$0.00,1,$1677.50,1.42%,$3006.25,90.75%,,$2.50,$15.00
,Buy to Cover,02/02/2016 13:00,Cover,$0.95305,,$1712.50,$26602.50,,($306.25),60.94%,51.70%,$2.50,$15.00
57,Sell Short,15/02/2016 01:00,Short,$1.00065,$0.00,1,($1860.00),-1.46%,$1031.25,34.09%,,$2.50,$15.00
,Buy to Cover,24/02/2016 01:00,Cover,$1.01525,,($1825.00),$24742.50,,($1993.75),5.58%,-60.33%,$2.50,$15.00
58,Sell Short,25/02/2016 13:00,Short,$1.00840,$0.00,1,($147.50),-0.09%,$1756.25,74.54%,,$2.50,$15.00
,Buy to Cover,09/03/2016 01:00,Cover,$1.00930,,($112.50),$24595.00,,($600.00),20.69%,-4.77%,$2.50,$15.00
59,Buy,10/03/2016 16:00,Buy,$1.00700,$0.00,1,$15.00,0.04%,$2193.75,63.47%,,$2.50,$15.00
,Sell,23/03/2016 13:00,Sell,$1.00740,,$50.00,$24610.00,,($1262.50),37.97%,1.45%,$2.50,$15.00
60,Buy,29/03/2016 21:00,Buy,$1.00815,$0.00,1,$3796.25,3.04%,$5143.75,97.40%,,$2.50,$15.00
,Sell,08/04/2016 01:00,Sell,$1.03880,,$3831.25,$28406.25,,($137.50),75.15%,72.54%,$2.50,$15.00
61,Sell Short,12/04/2016 13:00,Short,$1.04150,$0.00,1,$2396.25,1.87%,$3412.50,81.86%,,$2.50,$15.00
,Buy to Cover,26/04/2016 09:00,Cover,$1.02205,,$2431.25,$30802.50,,($756.25),76.46%,58.32%,$2.50,$15.00
62,Buy,28/04/2016 05:00,Buy,$1.03750,$0.00,1,$2165.00,1.70%,$3712.50,100.00%,,$2.50,$15.00
,Sell,03/05/2016 21:00,Sell,$1.05510,,$2200.00,$32967.50,,$0.00,59.26%,59.26%,$2.50,$15.00
63,Sell Short,04/05/2016 01:00,Short,$1.05310,$0.00,1,$2783.75,2.14%,$3693.75,78.91%,,$2.50,$15.00
,Buy to Cover,23/05/2016 01:00,Cover,$1.03055,,$2818.75,$35751.25,,($987.50),81.31%,60.21%,$2.50,$15.00
64,Buy,23/05/2016 09:00,Buy,$1.03345,$0.00,1,$1615.00,1.28%,$3150.00,59.64%,,$2.50,$15.00
,Sell,07/06/2016 09:00,Sell,$1.04665,,$1650.00,$37366.25,,($2131.25),71.60%,31.24%,$2.50,$15.00
65,Buy,10/06/2016 05:00,Buy,$1.05320,$0.00,1,$2577.50,1.98%,$3962.50,96.21%,,$2.50,$15.00
,Sell,20/06/2016 05:00,Sell,$1.07410,,$2612.50,$39943.75,,($156.25),67.22%,63.43%,$2.50,$15.00
66,Buy,22/06/2016 01:00,Buy,$1.07565,$0.00,1,$2590.00,1.95%,$6650.00,73.48%,,$2.50,$15.00
,Sell,24/06/2016 13:00,Sell,$1.09665,,$2625.00,$42533.75,,($2400.00),55.52%,29.01%,$2.50,$15.00
67,Sell Short,29/06/2016 09:00,Short,$1.09270,$0.00,1,($1322.50),-0.94%,$800.00,38.21%,,$2.50,$15.00
,Buy to Cover,05/07/2016 13:00,Cover,$1.10300,,($1287.50),$41211.25,,($1293.75),0.30%,-61.49%,$2.50,$15.00
68,Sell Short,11/07/2016 05:00,Short,$1.10375,$0.00,1,$3377.50,2.47%,$4150.00,99.85%,,$2.50,$15.00
,Buy to Cover,13/07/2016 01:00,Cover,$1.07645,,$3412.50,$44588.75,,($6.25),82.26%,82.11%,$2.50,$15.00
69,Buy,21/07/2016 09:00,Buy,$1.06455,$0.00,1,$5015.00,3.80%,$5781.25,82.37%,,$2.50,$15.00
,Sell,03/08/2016 01:00,Sell,$1.10495,,$5050.00,$49603.75,,($1237.50),89.58%,71.95%,$2.50,$15.00
70,Sell Short,05/08/2016 13:00,Short,$1.09830,$0.00,1,($2278.75),-1.63%,$843.75,27.33%,,$2.50,$15.00
,Buy to Cover,16/08/2016 09:00,Cover,$1.11625,,($2243.75),$47325.00,,($2243.75),0.00%,-72.67%,$2.50,$15.00
71,Sell Short,22/08/2016 01:00,Short,$1.10955,$0.00,1,$3046.25,2.22%,$3975.00,80.20%,,$2.50,$15.00
,Buy to Cover,01/09/2016 21:00,Cover,$1.08490,,$3081.25,$50371.25,,($981.25),81.97%,62.17%,$2.50,$15.00
72,Sell Short,05/09/2016 13:00,Short,$1.08330,$0.00,1,($2972.50),-2.17%,$475.00,10.81%,,$2.50,$15.00
,Buy to Cover,26/09/2016 05:00,Cover,$1.10680,,($2937.50),$47398.75,,($3918.75),22.33%,-66.86%,$2.50,$15.00
73,Sell Short,27/09/2016 05:00,Short,$1.10700,$0.00,1,$3358.75,2.45%,$4087.50,83.21%,,$2.50,$15.00
,Buy to Cover,07/10/2016 01:00,Cover,$1.07985,,$3393.75,$50757.50,,($825.00),85.88%,69.08%,$2.50,$15.00
74,Sell Short,07/10/2016 16:00,Short,$1.08365,$0.00,1,$940.00,0.72%,$2831.25,86.62%,,$2.50,$15.00
,Buy to Cover,02/11/2016 01:00,Cover,$1.07585,,$975.00,$51697.50,,($437.50),43.21%,29.83%,$2.50,$15.00
75,Sell Short,07/11/2016 01:00,Short,$1.07225,$0.00,1,$5452.50,4.09%,$6037.50,62.24%,,$2.50,$15.00
,Buy to Cover,16/11/2016 13:00,Cover,$1.02835,,$5487.50,$57150.00,,($3662.50),94.33%,56.57%,$2.50,$15.00
76,Sell Short,28/11/2016 09:00,Short,$1.00395,$0.00,1,$1202.50,0.99%,$2600.00,82.54%,,$2.50,$15.00
,Buy to Cover,05/12/2016 05:00,Cover,$0.99405,,$1237.50,$58352.50,,($550.00),56.75%,39.29%,$2.50,$15.00
77,Sell Short,05/12/2016 09:00,Short,$0.98700,$0.00,1,$3308.75,2.71%,$4081.25,78.02%,,$2.50,$15.00
,Buy to Cover,15/12/2016 16:00,Cover,$0.96025,,$3343.75,$61661.25,,($1150.00),85.90%,63.92%,$2.50,$15.00
78,Sell Short,20/12/2016 05:00,Short,$0.96005,$0.00,1,($4085.00),-3.37%,$806.25,16.56%,,$2.50,$15.00
,Buy to Cover,17/01/2017 05:00,Cover,$0.99245,,($4050.00),$57576.25,,($4062.50),0.26%,-83.18%,$2.50,$15.00
79,Sell Short,18/01/2017 21:00,Short,$0.98250,$0.00,1,($2660.00),-2.14%,$1012.50,26.69%,,$2.50,$15.00
